"Year","Winners","Runners-up","Third","Fourth"
"1971","Cologne","Royal Sporting Club Anderlecht","Real Zaragoza","-"
"1972","Hamburg SV","Sociedade Esportiva Palmeiras","Real Zaragoza","-"
"1973","Borussia Mönchengladbach","PFC CSKA Sofia","Real Zaragoza","West Ham"
"1974","Real Zaragoza","Eintracht Frankfurt","FC Molenbeek Brussels Strombeek","Partizan Belgrade"
"1975","Real Zaragoza","Club Atlético Boca Juniors","FK Vojvodina","Boavista Futebol Clube"
"1976","Real Zaragoza","Górnik Zabrze","OFK Belgrade","Olympiacos FC"
"1977","PFC CSKA Sofia","Real Zaragoza","FK Radnički Niš","RCD Espanyol"
"1978","Real Zaragoza","Club Nacional de Football","PFC Sliven","FK Trepca Mitrovica"
"1979","Real Zaragoza","NK Dinamo Zagreb","Vasas SC","FK Sarajevo"
"1980","RCD Espanyol","Real Zaragoza","Sporting Lisboa","Partizan Belgrade"
"1981","Real Zaragoza","Nottingham Forest Football Club","Tisza Volán SC","Club Atlético Osasuna"
"1982","Manchester United F.C.","Real Zaragoza","MTK Hungária FC","Budapest Honvéd FC"
"1983","Real Zaragoza","Club América","Aston Villa Football Club","Politehnica Timişoara"
"1984","Videoton SC","Universidad Católica","Real Zaragoza","Defensor Sporting Club"
"1985","Fútbol Club Barcelona","Real Zaragoza","-","-"
"1986","Real Zaragoza","Cologne","-","-"
"1987","Real Zaragoza","Checoslovaquia","-","-"
"1988","Club Atlético Peñarol","Real Zaragoza","-","-"
"1989","Real Zaragoza","Club de Fútbol Atlante","Aragon","-"
"1990","FC Dinamo Moscow","Real Zaragoza","Real Betis Balompié","-"
"1991","Real Zaragoza","Dinamo Bucharest","-","-"
"1992","Real Zaragoza","Fútbol Club Barcelona","-","-"
"1993","Club de Regatas Vasco da Gama","Real Zaragoza","-","-"
"1994","Real Zaragoza","CSKA Moscow","-","-"
"1995","Real Zaragoza","Club Nacional de Football","-","-"
"1996","Real Zaragoza","Hamburg SV","-","-"
"1997","Società Sportiva Lazio","Real Zaragoza","-","-"
"1998","Parma","Real Zaragoza","-","-"
"1999","Real Zaragoza","Feyenoord Rotterdam","-","-"
"2000","Real Zaragoza","Parma","-","-"
"2001","Real Zaragoza","FC Twente","-","-"
"2002","Real Zaragoza","Athletic Club","-","-"
"2003","Real Zaragoza","Chievo","-","-"
"2004","Club Atlético de Madrid","Real Zaragoza","-","-"
"2005","Real Zaragoza","Real Madrid Club de Fútbol","-","-"
"2006","Real Zaragoza","Associazione Sportiva Livorno Calcio","-","-"
"2007","Real Zaragoza","Juventus Football Club","-","-"
"2008","Getafe Club de Fútbol","Real Zaragoza","-","-"
"2009","Società Sportiva Lazio","Real Zaragoza","-","-"
"2010","Sociedad Deportiva Huesca","Real Zaragoza","CD Teruel","-"
"2011","Real Zaragoza","RCD Espanyol","-","-"
"2012","Real Zaragoza","RCD Espanyol","-","-"
