Single / EP	Tracks	Label	Year	Album
Your Love Is Electric	Your Love Is Electric	Burn The Fire	2009	—
Fresh Attire Vol. 3	Crush Groovin'	Wearhouse Music	2009	—
Left To Right	Left To Right	Destination?	2009	—
Breakdown	Breakdown	Burn The Fire	2009	—
Doin' It Right	Doin' It Right	Burn The Fire	2009	—
Los Angeles	Los Angeles\nLos Angeles feat. Whiskey Pete (Clean Mix)\nLos Angeles feat. Whiskey Pete (Dirty Mix)	Burn The Fire	2010	The Agenda
Dutchie	Dutchie	Burn The Fire	2010	—
Ghetto Ass Bitches	Ghetto Ass Bitches	Burn The Fire	2010	—
Hot & Cold	Overdose	Burn The Fire	2010	—
The Flying Cat	The Flying Cat	Burn The Fire	2010	—
Rave To The Grave	Raver Booty\nShuffle	Burn The Fire	2010	—
Those Who From Heaven To Earth Came	The Lizard King\nAnnunaki	Burn The Fire	2010	—
Still Smoking	Nasty & Gaspar Still Smoking	Burn The Fire	2010	—
The Thirteenth Skull	The Thirteenth Skull	Burn The Fire	2010	—
Die Famous	Die Famous	Burn The Fire	2011	—
Redroid	Redroid	Temple Music Group	2011	—
Ancient Psychic Tandem War Elephant	Ancient Psychic Tandem War Elephant	Burn The Fire	2011	—
2012 – Remix Contest EP	2012 (Remastered)	Burn The Fire	2012	The Agenda
Louder Than Bombs	Louder Than Bombs	Burn The Fire	2012	The Agenda
Deception	Deception	Burn The Fire	2012	The Agenda
Onslaught	Onslaught	Burn The Fire	2012	The Agenda
Drop Bears	Drop Bears	Burn The Fire	2013	—
Hyped	Hyped	Vicious	2014	—
