"Year","Winner","Second","Third","Starters"
"2013","New Year's Day","Havana","Strong Mandate","13"
"2012","Shanghai Bobby","He's Had Enough","Capo Bastone","9"
"2011","Hansen","Union Rags","Creative Cause","13"
"2010","Uncle Mo","Boys at Toscanova","Rogue Romance","11"
"2009","Vale of York","Lookin at Lucky","Noble's Promise","13"
"2008","Midshipman","Square Eddie","Street Hero","12"
"2007","War Pass","Pyro","Kodiak Kowboy","11"
"2006","Street Sense","Circular Quay","Great Hunter","14"
"2005","Stevie Wonderboy","Henny Hughes","First Samurai","14"
"2004","Wilko","Afleet Alex","Sun King","8"
"2003","Action This Day","Minister Eric","Chapel Royal","12"
"2002","Vindication","Kafwain","Hold That Tiger","13"
"2001","Johannesburg","Repent","Siphonic","12"
"2000","Macho Uno","Point Given","Street Cry","14"
"1999","Anees","Chief Seattle","High Yield","14"
"1998","Answer Lively","Aly's Alley","Cat Thief","13"
"1997","Favorite Trick","Dawson's Legacy","Nationalore","8"
"1996","Boston Harbor","Acceptable","Ordway","10"
"1995","Unbridled's Song","Hennessy","Editor's Note","13"
"1994","Timber Country","Eltish","Tejano Run","13"
"1993","Brocco","Blumin Affair","Tabasco Cat","11"
"1992","Gilded Time","It'sali'lknownfact","River Special","13"
"1991","Arazi","Bertrando","Snappy Landing","14"
"1990","Fly So Free","Take Me Out","Lost Mountain","11"
"1989","Rhythm","Grand Canyon","Slavic","12"
"1988","Is It True","Easy Goer","Tagel","10"
"1987","Success Express","Regal Classic","Tejano","13"
"1986","Capote","Qualify","Alysheba","13"
"1985","Tasso","Storm Cat","Scat Dancer","13"
"1984","Chief's Crown","Tank's Prospect","Spend A Buck","10"
