Outcome	No.	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	1.	16 May 2010	Kurume, Japan	Clay	Karolína Plíšková	Sun Shengnan\n Xu Yifan	0–6, 3–6
Winner	1.	13 February 2011	Rancho Mirage, United States	Hard	Karolína Plíšková	Nadejda Guskova\n Sandra Zaniewska	6–7(6–8), 6–1, 6–4
Winner	2.	7 August 2011	Vancouver, Canada	Hard	Karolína Plíšková	Jamie Hampton\n N. Lertcheewakarn	5–7, 6–2, 6–4
Runner-up	2.	6 November 2011	Taipei 5, Taiwan	Hard	Karolína Plíšková	Chan Yung-jan\n Zheng Jie	6–7(5–7), 7–5, 3–6
Runner-up	3.	20 November 2011	Bratislava, Slovakia	Hard	Karolína Plíšková	Naomi Broady\n Kristina Mladenovic	7–5, 4–6, [2–10]
Winner	3.	23 January 2012	Andrézieux-Bouthéon, France	Hard (i)	Karolína Plíšková	Julie Coin\n Eva Hrdinová	6–4, 4–6, [10–5]
Winner	4.	30 January 2012	Grenoble, France	Hard (i)	Karolína Plíšková	Valentyna Ivakhnenko\n Maryna Zanevska	6–1, 6–3
Runner-up	4.	17 September 2012	Shrewsbury, United Kingdom	Hard (i)	Karolína Plíšková	Vesna Dolonc\n Stefanie Vögele	1–6, 7–6(7–3), [13–15]
Winner	5.	12 November 2012	Zawada, Poland	Carpet (i)	Karolína Plíšková	Kristina Barrois\n Sandra Klemenschits	6–3, 6–1
Winner	6.	28 October 2013	Barnstaple, United Kingdom	Hard (i)	Naomi Broady	Raluca Olaru\n Tamira Paszek	6–3, 3–6, [10–5]
