Pos	No.	Rider	Manufacturer	Laps	Time/Retired	Grid	Points
1	75	Mattia Pasini	Aprilia	27	39:44.091	3	25
2	19	Álvaro Bautista	Aprilia	27	+0.010	2	20
3	52	Lukáš Pešek	Derbi	27	+0.111	1	16
4	55	Héctor Faubel	Aprilia	27	+9.298	10	13
5	24	Simone Corsi	Gilera	27	+9.372	9	11
6	1	Thomas Lüthi	Honda	27	+10.570	13	10
7	18	Nicolás Terol	Derbi	27	+11.835	5	9
8	36	Mika Kallio	KTM	27	+11.905	4	8
9	6	Joan Olivé	Aprilia	27	+26.017	16	7
10	33	Sergio Gadea	Aprilia	27	+26.172	12	6
11	32	Fabrizio Lai	Honda	27	+26.361	6	5
12	38	Bradley Smith	Honda	27	+26.389	14	4
13	11	Sandro Cortese	Honda	27	+26.480	11	3
14	14	Gábor Talmácsi	Honda	27	+26.606	7	2
15	71	Tomoyoshi Koyama	Malaguti	27	+27.068	15	1
16	54	Randy Krummenacher	KTM	27	27.192	21	
17	8	Lorenzo Zanetti	Aprilia	27	+46.145	23	
18	17	Stefan Bradl	KTM	27	+46.201	18	
19	95	Georg Fröhlich	Honda	27	+56.274	28	
20	35	Raffaele De Rosa	Aprilia	27	+56.549	25	
21	26	Vincent Braillard	Aprilia	27	+56.782	31	
22	12	Federico Sandi	Aprilia	27	+57.073	27	
23	15	Michele Pirro	Aprilia	27	+57.474	22	
24	29	Andrea Iannone	Aprilia	27	+57.707	20	
25	7	Alexis Masbou	Malaguti	27	+1:04.698	37	
26	16	Michele Conti	Honda	27	+1:04.793	32	
27	45	Imre Tóth	Aprilia	27	+1:07.754	19	
28	43	Manuel Hernández	Aprilia	27	+1:17.323	30	
29	23	Lorenzo Baroni	Honda	27	+1:17.507	26	
30	21	Mateo Túnez	Aprilia	27	+1:20.583	29	
31	34	Esteve Rabat	Honda	27	+1:24.772	39	
32	98	Toni Wirsing	Honda	26	+1 Lap	42	
Ret	61	Robin Lässer	KTM	17	Retirement	36	
Ret	44	Karel Abraham	Aprilia	16	Retirement	33	
Ret	13	Dino Lombardi	Aprilia	13	Retirement	41	
Ret	37	Joey Litjens	Honda	11	Retirement	38	
Ret	22	Pablo Nieto	Aprilia	9	Retirement	8	
Ret	83	Clément Dunikowski	Honda	7	Retirement	40	
Ret	53	Simone Grotzkyj	Aprilia	6	Accident	35	
Ret	72	Eric Hübsch	Aprilia	5	Retirement	34	
Ret	20	Roberto Tamburini	Aprilia	4	Accident	24	
Ret	10	Ángel Rodríguez	Aprilia	1	Retirement	17	
DNS	97	Joshua Sommer	Aprilia				
