"Wager","Winner","Loser","Location","Date"
"Hair","Mocho Cota","Chamaco Valaguez","Cuernavaca, Morelos","Unknown"
"Hair","Satánico","Mocho Cota","Mexico City, Mexico","September 26, 1980"
"Hair","Chamaco Valaguez","Mocho Cota","Cuernavaca, Morelos","July 29, 1982"
"Hair","Gran Cochisse","Mocho Cota","Mexico City, Mexico","March 25, 1983"
"Hairs","La Fiera and Mocho Cota","Ringo Mendoza and Cachorro Mendoza","Mexico City, Mexico","July 1, 1983"
"Hair","Gran Cochisse","Mocho Cota","Mexico City, Mexico","September 9, 1983"
"Hair","Mocho Cota","Chamaco Valaguez","Mexico City, Mexico","September 7, 1984"
"Hair","Mocho Cota","El Talismán","Mexico City, Mexico","March 7, 1986"
"Hairs","Sangre Chicana and Mocho Cota","El Faraón and Talismán","Mexico City, Mexico","March 7, 1986"
"Hair","Mocho Cota","Kato Kung Lee","Mexico City, Mexico","December 10, 1993"
"Hair","Mocho Cota","Chamaco Valaguez","Cuernavaca, Morelos","March 29, 1994"
"Hair","Negro Casas","Mocho Cota","Mexico City, Mexico","September 23, 1994"
