"No.","Name","Class","Games","Minutes","Points","2 Points","2 Points","3 Points","3 Points","Free throws","Free throws","Rebounds","Rebounds","Rebounds","Assists","Turnovers","Steals","Blocked Shots","Personal Fouls","Fouls Drawn"
"","","","","","","Made/Attempts","%","Made/Attempts","%","Made/Attempts","%","Offensive","Defensive","Total","","","","","",""
"4","Sarah Vinci","1.0","7","125","8","4/9","44","–/–","—","–/–","—","2","6","8","1","2","2","1","4","1"
"5","Cobi Crispin","4.0","7","180","72","33/77","43","–/–","—","6/14","43","13","34","47","11","13","4","1","18","17"
"6","Bridie Kean","4.0","7","109","16","7/26","27","0/1","0","2/8","25","5","27","32","6","4","6","—","8","8"
"7","Amanda Carter","1.0","3","38","7","3/5","60","–/–","—","1/1","100","4","—","4","—","1","1","—","1","1"
"8","Tina McKenzie","3.0","2","18","—","0/2","0","–/–","—","–/–","—","—","4","4","2","1","—","—","2","-"
"9","Leanne Del Toso","3.5","3","24","4","2/7","29","–/–","—","–/–","—","2","7","9","2","3","—","—","2","1"
"10","Clare Nott","1.0","7","212","37","18/32","56","0/1","0","1/7","14","6","14","20","7","7","4","3","10","4"
"11","Kylie Gauci","2.0","7","186","54","24/68","35","2/6","33","0/2","0","4","11","15","28","14","5","—","9","12"
"12","Shelley Chaplin","3.5","7","166","26","13/48","27","0/1","0","0/7","0","5","15","20","28","10","4","—","12","13"
"13","Sarah Stewart","3.0","7","83","25","12/27","44","–/–","—","1/5","20","4","12","16","12","2","2","—","7","6"
"14","Katie Hill","3.0","7","107","25","12/30","40","–/–","—","1/1","100","1","7","8","6","4","2","—","4","4"
"15","Amber Merritt","4.5","7","153","83","40/77","52","0/1","0","3/12","25","11","30","41","6","8","5","2","16","16"
"","Team","","","","","","","","","","","7","12","19","","","","","",""
"","Team Totals","","","","357","168/408","41","2/10","20","15/57","26","64","179","243","109","84","35","7","93","83"
