"Celebrity","Residence","Famous for.../Occupation","Age","Status"
"Nagore Robles","Bilbao","Gran Hermano 11 Housemate","28","Winner"
"Raquel Bollo","Seville","TV Host & ex-wife of Chiquetete","43","Runner-Up"
"Blanca de Borbón","Oviedo, Asturias","Alfonso XIII's illegitimate granddaughter","55","3rd Finalist"
"Regina Do Santos","Brazil","Singer & Dancer","58","1st / 14th Evicted"
"Liberto López de la Franca","Madrid","Good manner teacher","40","13th Evicted"
"Mª Ángeles Delgado","Valladolid","Mother of Reality-show star Aída Nízar","57","8th / 12th Evicted"
"Úrsula Aguilar","Málaga","Miss Málaga 2011","24","11th Evicted"
"Álvaro Muñoz-Escassi","Seville","Horse rider & ex-boyfriend of Lara Dibildos","42","10th Evicted"
"Pedro Reche, \"Reche\"","Langreo, Asturias","Reality show star","27","9th Evicted"
"Dionisio Rodríguez, \"Dioni\"","Madrid","Ex Security Guard, robbed a security van","62","Ejected"
"Antonio David Flores","Madrid","Ex-son-in-law of Rocío Jurado","36","7th Evicted"
"Raúl Hidalgo","Valladolid","Reality show star","29","6th Evicted"
"Leticia Sabater","Barcelona","TV Host","45","5th Evicted"
"Brenda Cerdá","Valencia","Reality show star","19","4th Evicted"
"Sonia Baby","Elche, Valencia","Porn Actress","30","3rd Evicted"
"Bárbara Rey","Totana, Murcia","Actress, Vedette, TV Host","61","2nd Evicted"
