Date	Race Name	Location	UCI Rating	Winner	Team
6 January	Copa América de Ciclismo	Brazil	1.2	Francisco Chamorro (ARG)	Funvic Brasilinvest-São José dos Campos
11–20 January	Vuelta al Táchira	Venezuela	2.2	Yeison Delgado (VEN)	Kino Táchira-Drodínica
21–27 January	Tour de San Luis	Argentina	2.1	Daniel Díaz (ARG)	San Luis Somos Todos
21–28 April	Vuelta a Guatemala	Guatemala	2.2	Óscar Sánchez (COL)	GW Shimano
1–5 May	Tour of the Gila	United States	2.2	Philip Deignan (IRL)	UnitedHealthcare
2 May	Pan American Cycling Championships – Time Trial	Mexico	CC	Carlos Oyarzun (CHI)	Chile national team
5 May	Pan American Cycling Championships – Road Race	Mexico	CC	Jonathan Paredes (COL)	Colombia national team
12–19 May	Tour of California	United States	2.HC	Tejay Van Garderen (USA)	BMC Racing Team
2 June	The Philly Cycling Classic	United States	1.2	Kiel Reijnen (USA)	UnitedHealthcare
7–9 June	Coupe des Nations Ville Saguenay	Canada	2.Ncup	Sondre Enger (NOR)	Norway national team
9–23 June	Vuelta a Colombia	Colombia	2.2	Óscar Sevilla (ESP)	EPM-UNE
11–16 June	Tour de Beauce	Canada	2.2	Nathan Brown (USA)	Bontrager Cycling Team
7 July	Tour de Delta	Canada	1.2	Steve Fisher (USA)	Hagens Berman Cycling
19–28 July	Vuelta a Venezuela	Venezuela	2.2	Carlos José Ochoa (VEN)	Androni Giocattoli-Venezuela
2–4 August	Tour of Elk Grove	United States	2.1	Elia Viviani (ITA)	Cannondale
6–11 August	Tour of Utah	United States	2.1	Tom Danielson (USA)	Garmin-Sharp
6–11 August	Ruta del Centro	Mexico	2.2	Víctor García (ESP)	Depredadores PBG Design
14–18 August	Vuelta al Sur de Bolivia	Bolivia	2.2	Óscar Soliz (BOL)	Pio Rico
19–25 August	USA Pro Cycling Challenge	United States	2.HC	Tejay Van Garderen (USA)	BMC Racing Team
28 Aug–1 Sep	Tour do Rio	Brazil	2.2	Óscar Sevilla (ESP)	EPM-UNE
3–8 September	Tour of Alberta	Canada	2.1	Rohan Dennis (AUS)	Garmin-Sharp
7 September	Bucks County Classic	United States	1.2	Kiel Reijnen (USA)	UnitedHealthcare
