Number	Name	Year Built	Boat Builder	Current Status
1	Hilbre	1958	Williams & Nixon, Deganwy	WKSC-Regularly sailed
2	Highlight	1959	Enterprise Boat Company, Rock Ferry	WKSC-Regularly sailed
3	Hilary	1959	Williams & Nixon, Deganwy	South of Wales
4	Hioco	1959	Enterprise Boat Company, Rock Ferry	WKSC-Regularly sailed
5	Hirondelle	1959	Enterprise Boat Company, Rock Ferry	WKSC-Regularly sailed
6	Hie	1959	Williams & Nixon, Deganwy	WKSC-Regularly sailed
7	Highwayman	1959	Williams & Nixon, Deganwy	WKSC-Regularly sailed
8	Hiccup	1959	Williams & Nixon, Deganwy	WKSC-Regularly sailed
9	Hiawatha	1960	Williams & Nixon, Deganwy	WKSC-Regularly sailed
10	Hidalgo	1960	Enterprise Boat Company, Rock Ferry	Located in Hamburg, Germany
11	Highlander	1960	Enterprise Boat Company, Rock Ferry	Lying in Heswall Boat yard last 10 years, cuddy removed and decking changed to resemble a half rater
12	Hippo	1960	Enterprise Boat Company, Rock Ferry	WKSC
13	No boat			
14	Hibernia	1961	Turner & Son, Donegal	Last heard located at Fiddlers Ferry SC
15	Hieros	1961	Turner & Son, Donegal	Understood to be in a garden in Chester
16	High & Dry	1961	Turner & Son, Donegal	Went down in the Persian gulf after 130 degree temperatures in 1981
17	Hilsa	1961	Enterprise Boat Company, Rock Ferry	WKSC-Regularly sailed
18	Hijinx	1960	Enterprise Boat Company, Rock Ferry	Abersoch
19	Hilarity	1960	Williams & Nixon, Deganwy	WKSC-Regularly sailed
20	Hilda	1960	Enterprise Boat Company, Rock Ferry	WKSC-Regularly sailed
21	Highlea	1960	Williams & Nixon, Deganwy	Last heard in Polperro
22	Hijack	1961	Turner & Son, Donegal	Set on fire and destroyed in Nevin,in 1995 after a dispute with local fishermen
23	Hi-Falutin	1962	Wirral Boat Co., Rock Ferry	Located at West Cheshire SC
24	Hibiscus	1961	Enterprise Boat Company, Rock Ferry	Sunk when it disappeared from its mooring at Tranmere in 1984
25	Hideaway	1961	JM Lowther, Whitby	Originally built out of class, subsequently altered and accepted by the Association in 1978. Five similar boats thought to have been built but not classed as Hilbres. Last Heard in West Lancs SC in 1996
26	Hispaniola	1961	Enterprise Boat Company, Rock Ferry	Last heard of heard in Irvine, Scotland
27	Hicotee	1961	Enterprise Boat Company, Rock Ferry	WKSC-Regularly sailed
28	Highland Scot	1961	Enterprise Boat Company, Rock Ferry	WKSC - Regularly sailed
29	Hither	1961	Enterprise Boat Company, Rock Ferry	WKSC - Regularly sailed
30	Hiatus	1961	Crossfield Successors, Arnside	Last heard of in Barrow in Furness
31	Hi Sheriff	1961	Crossfield Successors, Arnside	WKSC-Regularly sailed
32	Hiraethog	1960	Williams & Nixon, Deganwy	WKSC-Hilbre Association Boat....Undergoing a rebuild by the Association
33	Hiwmor	1961	Crossfield Successors, Arnside	South East England
34	Hi Fi	1960	Crossfield Successors, Arnside	WKSC - Regularly sailed
35	Hilo	1961	Enterprise Boat Company, Rock Ferry	Wrecked when escaped moorings at West Kirby SC
36	Hinayana	1961	Crossfield Successors, Arnside	Poorly repaired in the past and beyond economic repair and subsequently set on fire on bonfire night
37	Hinden	1961	Crossfield Successors, Arnside	Destroyed when put in a skip in Liverpool by over keen repairers who cut three feet off the stern in 1994
38	Hinemoa	1961	Enterprise Boat Company, Rock Ferry	WKSC - Regularly sailed
39	Hickory	1961	Crossfield Successors, Arnside	Burnt on Bonfire Night
40	Hirundo	1961	Crossfield Successors, Arnside	Broken up and burnt with parts re-used
41	Highcrest	1961	Crossfield Successors, Arnside	Wrecked when came off its moorings at West Kirby SC
42	Hindu Honey	1962	Crossfield Successors, Arnside	Destroyed/sank in North Wales with parts made available to the Hilbre Association
43	Hildebrand	1962	Crossfield Successors, Arnside	Last heard in Northumberland
44	Hibrena	1961	Crossfield Successors, Arnside	Cut up and burnt in 2002 and parts salvaged for use by the Association
45	Hifactum	1962	Enterprise Boat Company, Rock Ferry	Lying in a garden in the Irby, Wirral
46	Hi C	1962	Enterprise Boat Company, Rock Ferry	Hilbre Association boat requiring extensive work
47	Highland Piper	1961	William Partington Marine, Pwhelli	WKSC-Regularly sailed
48	Hi Di Hi	1961	Crossfield Successors, Arnside	Damaged beyond repair and burnt on bonfire night 2011 at WKSC
49	Higgler	1961	Crossfield Successors, Arnside	Last heard of in Polperro
50	Heulwen	1962	Wirral Boat Co., Rock Ferry	Porthmadog
51	Hiatus	1962	Wirral Boat Co., Rock Ferry	WKSC -
52	Hikari	1963	Crossfield Successors, Arnside	Converted to fishing boat, although understood now to be destroyed and burnt
53	High Hat	1963	William Partington Marine, Pwhelli	WKSC-Regularly sailed
54	Hinon	1964	Crossfield Successors, Arnside	Lying in a garden in Buckley, in a poor condition
55	Hiriver	1964	Anglesey Boat Co., Beaumaris	Sunk in the river Mersey, when swamped by the Isle of Man Ferry in 1970
56	Hipparchus	1966	Anglesey Boat Co., Beaumaris	Liverpool Maritime Museum
