"Date","Tournament","Winner","Purse ($)","Notes"
"25 Feb","Pinamar Open","Miguel Rodriguez","70,000",""
"3 Mar","South Open","Rafael Gómez","100,000",""
"10 Mar","Parana Open","Julio Zapata","70,000",""
"8 Apr","Norpatagonico Open","Luciano Dodda (amateur)","","PGA Argentina- No valid TPG"
"15 Apr","Center Open","Ángel Cabrera","200,000","Co-sanctioned by the TLA"
"22 Apr","Ángel Cabrera Classic","Rafael Gómez","120,000",""
"29 Apr","Chaco Open","Fabián Gómez","70,000",""
"9 Jun","North Open","Ricardo González, Andrés Romero (tie)","80,000",""
"10 Jul","Metropolitano Open","José Cóceres","","PGA Argentina- No valid TPG"
"11 Aug","Misiones Open","Sergio Acevedo","70,000",""
"19 Aug","Carlos Franco Invitational","Marco Ruiz","93,000",""
"29 Sep","Salta Open","Andrés Romero","80,000",""
"7 Oct","Tandil Open","Diego Ortiz","70,000",""
"27 Oct","Argentine Masters","Ángel Cabrera","420,000","Co-sanctioned by the TLA"
"4 Nov","Mendoza Open","Rafael Echenique","80,000",""
"11 Nov","Roberto de Vicenzo Classic","Miguel Guzmán","120,000",""
"25 Nov","San Luis Open","Emilio Dominguez","450,000","Co-sanctioned by the TLA"
"2 Dec","Abierto del Litoral","Miguel Rodriguez","520,000","Co-sanctioned by the TLA and Challenge Tour"
"9 Dec","Argentine Open","Marco Ruiz","600,000","Co-sanctioned by the TLA and Challenge Tour"
