"Date","Opponent#","Rank#","Site","Result"
"September 12","at Colorado*","","Folsom Field • Boulder, CO","W 44–6"
"September 19","at #5 Ohio State*","","Ohio Stadium • Columbus, OH","L 14–24"
"September 26","San Diego State*","","Autzen Stadium • Eugene, OR","W 25–20"
"October 3","#16 Washington","","Autzen Stadium • Eugene, OR (Rivalry)","W 29–22"
"October 10","USC","","Autzen Stadium • Eugene, OR","W 34–27"
"October 17","at #9 UCLA","#16","Rose Bowl • Pasadena, CA","L 10–41"
"October 24","at Stanford","","Stanford Stadium • Stanford, CA","L 10–13"
"October 31","California","","Autzen Stadium • Eugene, OR","L 6–20"
"November 7","at Arizona State","","Sun Devil Stadium • Tempe, AZ","L 17–37"
"November 14","at Washington State","","Martin Stadium • Pullman, WA","W 31–17"
"November 21","Oregon State","","Autzen Stadium • Eugene, OR (Civil War)","W 44–0"
