Rank	Athlete	Shooting\nScore (pts)	Fencing\nVictories (pts)	Swimming\nTime (pts)	Riding\nPenalties (pts)	Running\nTime (pts)	Total
	Andrey Moiseev (RUS)	175 (1036)	22 (1000)	1:58.88 (1376)	168 (1032)	9:51.88 (1036)	5480
	Andrejus Zadneprovskis (LTU)	172 (1000)	19 (916)	2:04.34 (1308)	112 (1088)	9:31.46 (1116)	5428
	Libor Capalini (CZE)	179 (1084)	14 (776)	2:02.00 (1336)	84 (1116)	9:40.70 (1080)	5392
4	Deniss Čerkovskis (LAT)	180 (1096)	19 (916)	2:09.00 (1252)	196 (1004)	9:38.77 (1088)	5356
5	Dzmitry Meliakh (BLR)	186 (1168)	11 (692)	2:02.63 (1332)	56 (1144)	9:59.45 (1004)	5340
6	Michal Michalík (CZE)	181 (1108)	18 (888)	2:08.51 (1260)	56 (1144)	10:17.68 (932)	5332
7	Eric Walther (GER)	168 (952)	16 (832)	2:02.03 (1336)	84 (1116)	9:39.36 (1084)	5320
8	Gábor Balogh (HUN)	175 (1036)	15 (804)	2:10.02 (1240)	28 (1172)	9:49.67 (1044)	5296
9	Vakhtang Iagorashvili (USA)	171 (988)	19 (916)	2:09.11 (1252)	28 (1172)	10:13.95 (948)	5276
10	Rustem Sabizkhuzin (RUS)	185 (1156)	18 (888)	2:12.02 (1216)	292 (908)	9:39.60 (1084)	5252
11	Sergio Salazar (MEX)	172 (1000)	16 (832)	2:07.27 (1276)	112 (1088)	9:59.15 (1004)	5200
12	Manuel Pradillo (MEX)	178 (1072)	15 (804)	2:07.07 (1276)	168 (1032)	9:57.68 (1012)	5196
13	Chad Senior (USA)	175 (1036)	12 (720)	2:02.39 (1332)	196 (1004)	9:35.76 (1100)	5192
14	Niklaus Brünisholz (SUI)	180 (1096)	14 (776)	2:09.12 (1252)	196 (1004)	9:46.75 (1056)	5184
15	Sébastien Deleigne (FRA)	180 (1096)	15 (804)	2:12.27 (1216)	196 (1004)	9:45.31 (1060)	5180
16	Qian Zhenhua (CHN)	185 (1156)	12 (720)	2:08.52 (1260)	56 (1144)	10:27.25 (892)	5172
17	Steffen Gebhardt (GER)	183 (1132)	13 (748)	2:12.84 (1208)	112 (1088)	10:08.81 (968)	5144
18	Ákos Kállai (HUN)	179 (1084)	18 (888)	2:14.64 (1188)	196 (1004)	10:08.75 (968)	5132
19	Andrea Valentini (ITA)	169 (964)	19 (916)	2:18.34 (1140)	124 (1068)	10:01.25 (996)	5084
20	Raouf Abdou (EGY)	174 (1024)	13 (748)	2:12.32 (1216)	140 (1060)	9:51.48 (1036)	5084
21	Lee Choon-Huan (KOR)	175 (1036)	12 (720)	2:12.02 (1216)	84 (1116)	10:05.85 (980)	5068
22	Pavel Uvarov (KGZ)	181 (1108)	10 (664)	2:13.26 (1204)	140 (1060)	10:05.95 (980)	5016
23	Erik Johansson (SWE)	163 (892)	12 (720)	2:06.68 (1280)	84 (1116)	10:08.20 (968)	4976
24	Han Do-Ryeong (KOR)	183 (1132)	15 (804)	2:09.78 (1244)	392 (808)	10:13.85 (948)	4936
25	Raphaël Astier (FRA)	163 (892)	14 (776)	2:06.93 (1280)	204 (996)	10:03.64 (988)	4932
26	Enrico Dell'Amore (ITA)	180 (1096)	18 (888)	2:16.63 (1164)	440 (760)	9:55.01 (1020)	4928
27	Alexander Parygin (AUS)	169 (964)	13 (748)	2:14.14 (1192)	196 (1004)	10:01.57 (996)	4904
28	Vasileios Floros (GRE)	174 (1024)	10 (664)	2:04.40 (1308)	100 (1100)	11:02.25 (752)	4848
29	Daniel dos Santos (BRA)	163 (892)	14 (776)	2:16.52 (1164)	84 (1116)	10:54.15 (784)	4732
30	Andrzej Stefanek (POL)	172 (1000)	16 (832)	2:07.37 (1272)	616 (584)	10:03.35 (988)	4676
31	Edvinas Krungolcas (LTU)	171 (988)	16 (832)	2:07.23 (1276)	112 (1088)	13:11.15 (236)	4420
32	Marcin Horbacz (POL)	181 (1108)	18 (888)	2:04.43 (1308)	1088 (112)*	10:07.46 (972)	4388
