Rank	Heat	Country	Cyclists	Result	Notes
1	6	Great Britain	Chris Hoy\nJason Kenny\nJamie Staff	42.950	Q, WR
2	7	France	Grégory Baugé\nKévin Sireau\nArnaud Tournant	43.541	Q
3	6	Germany	René Enders\nMaximilian Levy\nStefan Nimke	44.197	Q
4	7	Netherlands	Theo Bos\nTeun Mulder\nTim Veldt	44.213	Q
5	5	Australia	Daniel Ellis\nMark French\nShane Kelly	44.335	Q
6	1	Japan	Kiyofumi Nagai\nTomohiro Nagatsuka\nKazunari Watanabe	44.454	Q
7	3	Malaysia	Azizulhasni Awang\nJosiah Ng\nMohd Rizal Tisin	44.752	Q
8	2	United States	Michael Blatchford\nAdam Duvendeck\nGiddeon Massie	45.346	Q
9	4	China	Feng Yong\nLi Wenhao\nZhang Lei	45.556	
10	3	Greece	Athanasios Mantzouranis\nVasileios Reppas\nPanagiotis Voukelatos	45.645	
11	2	Czech Republic	Tomáš Bábek\nAdam Ptáčník\nDenis Špička	45.678	
12	5	Russia	Sergey Polynskiy\nDenis Dmitriev\nSergey Kucherov	45.964	
13	1	Poland	Maciej Bielecki\nKamil Kuczyński\nŁukasz Kwiatkowski	45.266	
