#	Name	Position	Birthday	Size	Weight	Last Team
4	Tom Lipke	Guard/ Forward	12.04.1986	1,96 m	98 kg	Bremen Roosters
5	Muamer Taletovic	Guard	02.04.1976	1,87 m	90 kg	Hertener Löwen
6	David Watson	Guard	16.09.1988	1,84 m	78 kg	SSC Karlsruhe
7	Brandon Gary	Forward	26.01.1983	2,03 m	100 kg	Iserlohn Kangaroos
8	Theodis Tarver	Center	09.07.1984	2,06 m	110 kg	Bremen Roosters
9	Stefan Svitek	Forward	25.05.1977	2,03 m	108 kg	Chemosvit Svit
10	Michael Baumer	Guard	08.08.1990	1,80 m	68 kg	BG Karlsruhe
11	Clifford Crawford	Guard	07.01.1981	1,92 m	98 kg	Bremen Roosters
12	Max Roser	Guard/ Forward	31.07.1988	1,94 m	87 kg	SG Bad Dürkheim/Speyer
13	Edward Seward	Center	20.10.1978	2,06 m	110 kg	Aschersleben Tiger
14	Julius Parrisius	Guard	01.08.1985	1,85 m	85 kg	Union Shops Rastatt
15	Leo Niebuhr	Forward	04.08.1986	2,06 m	88 kg	SG Braunschweig
16	Alexander Rüeck	Guard	24.03.1984	1,89 m	85 kg	Union Shops Rastatt
17	Matthias Hurst	Forward/ Center	06.10.1989	2,04 m	86 kg	BG Karlsruhe
