| First TOPS | Second TOPS | First TOPS | Second TOPS | First TOPS | Second TOPS | First TOPS | Second TOPS |
| 102        | 101         | 106        | 105         | 140        | 104         | 141        | 105         |
| 142        | 108         | 143        | 100         | 144        | 101         | 145        | 103         |
| 146        | 109         | 147        | 111         | 148        | 114         | 149        | 121         |
| 150        | 122         | 160        | 104         | 161        | 107 & 108   | 162        | 101         |
| 163        | 110         | 164        | 101         | 165        | 111         | 166        | 104         |
| 167        | 108         | 168        | 101 & 111   | 169        | 104         | 170        | 105         |
| 171        | 101         | 172        | 116         | 173        | 115         | 174        | 118         |
| 175        | 116         | 176        | 117         | 177        | 115         | 178        | 119         |
| 179        | 120         | 180        | 124         | 181        | 124         | 182        | 123         |
| 183        | 123         | 184        | 123         | 185        | 125         | 186        | 127         |
| 187        | 126         | 188        | 126         | 189        | 126         | 190        | 130         |
| 201/1      | 201         | 201/2      | 202         | 201/3      | 203         | 202/1      | 206         |
| 202/2      | 207         | 202/3      | 205         | 203        | 204         | 211/1      | 206         |
| 211/2      | 207         | 211/3      | 205         | 212        | 204         | 221/1      | 201         |
| 221/2      | 202         | 221/3      | 203         | 222/1      | 206         | 222/2      | 205         |
| 223/1      | 201         | 223/2      | 202         | 223/3      | 203         | 224        | 207         |
| 225        | 203         | 261        | 251         |            |             |            |             |
