Pos	No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	9	Scott Dixon	Chip Ganassi Racing	85	1:46:05.7985	3	51	52
2	6	Ryan Briscoe	Penske Racing	85	+ 29.7803	1	6	41
3	10	Dario Franchitti	Chip Ganassi Racing	85	+ 30.0551	6	0	35
4	14	Ryan Hunter-Reay	A. J. Foyt Enterprises	85	+ 33.7307	7	0	32
5	27	Hideki Mutoh	Andretti Green Racing	85	+ 34.1839	11	0	30
6	26	Marco Andretti	Andretti Green Racing	85	+ 46.7669	13	0	28
7	5	Paul Tracy	KV Racing Technology	85	+ 49.7020	10	0	26
8	02	Graham Rahal	Newman/Haas/Lanigan Racing	85	+ 50.4517	4	0	24
9	2	Raphael Matos (R)	Luczo-Dragon Racing	85	+ 51.2286	15	0	22
10	11	Tony Kanaan	Andretti Green Racing	85	+ 52.0810	8	0	20
11	06	Oriol Servià	Newman/Haas/Lanigan Racing	85	+ 52.6215	14	0	19
12	3	Hélio Castroneves	Penske Racing	85	+ 53.2362	5	0	18
13	18	Justin Wilson	Dale Coyne Racing	85	+ 53.5768	2	28	17
14	33	Robert Doornbos (R)	HVM Racing	85	+ 1:10.0812	18	0	16
15	13	E. J. Viso	HVM Racing	84	+ 1 Lap	9	0	15
16	4	Dan Wheldon	Panther Racing	84	+ 1 Lap	17	0	14
17	20	Ed Carpenter	Vision Racing	84	+ 1 Lap	21	0	13
18	98	Richard Antinucci	Team 3G	83	+ 2 Laps	19	0	12
19	7	Danica Patrick	Andretti Green Racing	83	+ 2 Laps	12	0	12
20	24	Mike Conway (R)	Dreyer & Reinbold Racing	69	Mechanical	16	0	12
21	23	Milka Duno	Dreyer & Reinbold Racing	56	Handling	20	0	12
