"Rank","Nation","Gold","Silver","Bronze","Total"
"1","Canada","9","6","5","20"
"2","United States","8","7","8","23"
"3","Austria","7","9","8","24"
"4","Japan","4","2","1","7"
"5","Italy","3","7","4","14"
"6","France","3","4","4","11"
"7","Australia","3","4","0","7"
"8","Norway","2","2","2","6"
"9","Slovenia","2","1","2","5"
"=10","Finland","2","1","1","4"
"=10","Germany","2","1","1","4"
"12","Russia","2","0","3","5"
"13","Switzerland","1","5","5","11"
"14","China","1","1","1","3"
"15","Poland","1","1","0","2"
"16","Czech Republic","1","0","1","2"
"17","Belgium","1","0","0","1"
"18","Netherlands","0","1","0","1"
"19","Spain","0","0","3","3"
"=20","Bulgaria","0","0","1","1"
"=20","Great Britain","0","0","1","1"
"=20","Sweden","0","0","1","1"
"Total","Total","52","52","52","156"
