"Stage","Date","Route","Terrain","Length","Winner","Race leader"
"1","30 June","Paris – Caen","Plain stage","208 km (129 mi)","Alfred Haemerlinck (BEL)","Alfred Haemerlinck (BEL)"
"2","1 July","Caen – Dinan","Plain stage","212 km (132 mi)","Max Bulla (AUT)","Max Bulla (AUT)"
"3","2 July","Dinan – Brest","Plain stage","206 km (128 mi)","Fabio Battesini (ITA)","Léon Le Calvez (FRA)"
"4","3 July","Brest – Vannes","Plain stage","211 km (131 mi)","André Godinat (FRA)","Rafaele di Paco (ITA)"
"5","4 July","Vannes – Les Sables d'Olonne","Plain stage","202 km (126 mi)","Charles Pélissier (FRA)","Charles Pélissier (FRA)
 Rafaele di Paco (ITA)"
"6","5 July","Les Sables d'Olonne – Bordeaux","Plain stage","338 km (210 mi)","Alfred Haemerlinck (BEL)","Rafaele di Paco (ITA)"
"7","6 July","Bordeaux – Bayonne","Plain stage","180 km (110 mi)","Gérard Loncke (BEL)","Rafaele di Paco (ITA)"
"8","7 July","Bayonne – Pau","Plain stage","106 km (66 mi)","Charles Pélissier (FRA)","Charles Pélissier (FRA)"
"9","8 July","Pau – Luchon","Stage with mountain(s)","231 km (144 mi)","Antonin Magne (FRA)","Antonin Magne (FRA)"
"10","10 July","Luchon – Perpignan","Stage with mountain(s)","322 km (200 mi)","Rafaele di Paco (ITA)","Antonin Magne (FRA)"
"11","12 July","Perpignan – Montpellier","Plain stage","164 km (102 mi)","Rafaele di Paco (ITA)","Antonin Magne (FRA)"
"12","13 July","Montpellier – Marseille","Plain stage","207 km (129 mi)","Max Bulla (AUT)","Antonin Magne (FRA)"
"13","14 July","Marseille – Cannes","Plain stage","181 km (112 mi)","Charles Pélissier (FRA)","Antonin Magne (FRA)"
"14","15 July","Cannes – Nice","Stage with mountain(s)","132 km (82 mi)","Eugenio Gestri (ITA)","Antonin Magne (FRA)"
"15","17 July","Nice – Gap","Stage with mountain(s)","233 km (145 mi)","Jef Demuysere (BEL)","Antonin Magne (FRA)"
"16","18 July","Gap – Grenoble","Stage with mountain(s)","102 km (63 mi)","Charles Pélissier (FRA)","Antonin Magne (FRA)"
"17","19 July","Grenoble – Aix-les-Bains","Stage with mountain(s)","230 km (140 mi)","Max Bulla (AUT)","Antonin Magne (FRA)"
"18","20 July","Aix-les-Bains – Evian","Stage with mountain(s)","204 km (127 mi)","Jef Demuysere (BEL)","Antonin Magne (FRA)"
"19","21 July","Evian – Belfort","Stage with mountain(s)","282 km (175 mi)","Rafaele di Paco (ITA)","Antonin Magne (FRA)"
"20","22 July","Belfort – Colmar","Stage with mountain(s)","209 km (130 mi)","André Leducq (FRA)","Antonin Magne (FRA)"
"21","23 July","Colmar – Metz","Plain stage","192 km (119 mi)","Rafaele di Paco (ITA)","Antonin Magne (FRA)"
"22","24 July","Metz – Charleville","Plain stage","159 km (99 mi)","Raffaele di Paco (ITA)","Antonin Magne (FRA)"
"23","25 July","Charleville – Malo-les-Bains","Plain stage","271 km (168 mi)","Gaston Rebry (BEL)","Antonin Magne (FRA)"
"24","26 July","Malo-les-Bains – Paris","Plain stage","313 km (194 mi)","Charles Pélissier (FRA)","Antonin Magne (FRA)"
