"Name","EGOT completed","Emmy","Grammy","Oscar","Tony"
"Richard Rodgers","1962 (17 years)","1962","1960","1945","1950,"
"Helen Hayes","1977 (45 years)","1953","1977","1932","1947,"
"Rita Moreno","1977 (16 years)","1977","1972","1961","1975"
"John Gielgud","1991 (30 years)","1991","1979","1981","1961,"
"Audrey Hepburn","1994 (41 years)","1993","1994","1953","1954"
"Marvin Hamlisch","1995 (23 years)","1995","1974","1973","1976"
"Jonathan Tunick","1997 (20 years)","1982","1988","1977","1997"
"Mel Brooks","2001 (34 years)","1967","1998","1968","2001"
"Mike Nichols","2001 (40 years)","2001","1961","1967","1964"
"Whoopi Goldberg","2002 (17 years)","2002,","1985","1990","2002"
"Scott Rudin","2012 (28 years)","1984","2012","2007","1994"
"Robert Lopez","2014 (10 years)","2008","2012","2014","2004"
