Rnd	Circuit	LMP1 Winning Team\nLMP1 Winning Drivers	LMP2 Winning Team\nLMP2 Winning Drivers	GT1 Winning Team\nGT1 Winning Drivers	GT2 Winning Team\nGT2 Winning Drivers	Results
1	Sebring	#2 Audi Sport North America	#37 Intersport Racing	#4 Corvette Racing	#50 Multimatic Motorsports	Results
1	Sebring	Rinaldo Capello\n Tom Kristensen\n Allan McNish	Clint Field\n Liz Halliday\n Jon Field	Oliver Gavin\n Olivier Beretta\n Jan Magnussen	Scott Maxwell\n David Brabham\n Sébastien Bourdais	Results
2	Reliant Park	#2 Audi Sport North America	#37 Intersport Racing	#4 Corvette Racing	#23 Alex Job Racing	Results
2	Reliant Park	Allan McNish\n Rinaldo Capello	Clint Field\n Liz Halliday	Oliver Gavin\n Olivier Beretta	Mike Rockenfeller\n Klaus Graf	Results
3	Mid-Ohio	#2 Audi Sport North America	#7 Penske Racing	#4 Corvette Racing	#45 Flying Lizard Motorsports	Results
3	Mid-Ohio	Allan McNish\n Rinaldo Capello	Timo Bernhard\n Romain Dumas	Oliver Gavin\n Olivier Beretta	Johannes van Overbeek\n Wolf Henzler	Results
4	Lime Rock	#2 Audi Sport North America	#7 Penske Racing	#009 Aston Martin Racing	#31 Petersen/White Lightning	Results
4	Lime Rock	Allan McNish\n Rinaldo Capello	Timo Bernhard\n Romain Dumas	Stéphane Sarrazin\n Pedro Lamy	Jörg Bergmeister\n Patrick Long	Results
5	Miller	#1 Audi Sport North America	#6 Penske Racing	#007 Aston Martin Racing	#62 Risi Competizione	Results
5	Miller	Frank Biela\n Emanuele Pirro	Sascha Maassen\n Lucas Luhr	Darren Turner\n Tomáš Enge	Jaime Melo\n Mika Salo	Results
6	Portland	#2 Audi Sport North America	#37 Intersport Racing	#4 Corvette Racing	#62 Risi Competizione	Results
6	Portland	Allan McNish\n Rinaldo Capello	Clint Field\n Liz Halliday	Oliver Gavin\n Olivier Beretta	Jaime Melo\n Mika Salo	Results
7	Road America	#1 Audi Sport North America	#6 Penske Racing	#3 Corvette Racing	#31 Petersen/White Lightning	Results
7	Road America	Frank Biela\n Emanuele Pirro	Sascha Maassen\n Timo Bernhard	Ron Fellows\n Johnny O'Connell	Jörg Bergmeister\n Patrick Long\n Michael Petersen	Results
8	Mosport	#2 Audi Sport North America	#7 Penske Racing	#009 Aston Martin Racing	#62 Risi Competizione	Results
8	Mosport	Allan McNish\n Rinaldo Capello	Lucas Luhr\n Romain Dumas	Stéphane Sarrazin\n Pedro Lamy	Stephane Ortelli\n Johnny Mowlem	Results
9	Road Atlanta	#2 Audi Sport North America	#6 Penske Racing	#007 Aston Martin Racing	#31 Petersen/White Lightning	Results
9	Road Atlanta	Allan McNish\n Rinaldo Capello	Sascha Maassen\n Timo Bernhard\n Emmanuel Collard	Tomáš Enge\n Darren Turner	Jörg Bergmeister\n Patrick Long\n Niclas Jönsson	Results
10	Mazda Raceway Laguna Seca	#2 Audi Sport North America	#7 Penske Racing	#009 Aston Martin Racing	#62 Risi Competizione	Results
10	Mazda Raceway Laguna Seca	Allan McNish\n Rinaldo Capello	Lucas Luhr\n Romain Dumas	Stéphane Sarrazin\n Pedro Lamy	Mika Salo\n Stephane Ortelli	Results
