Year	Representative	Hometown	Placement in Miss Nepal	Special awards at Miss Nepal	Placement in Miss Pokhara
1995	Rita Gurung	Pamee	1st Runner Up		Winner
1996	Binita Gurung	Batulichor	2nd Runner Up		Winner
1997	Neelima Gurung	Nadipur	WINNER	Miss Personality	Winner
1998	Sunita Ranjit	Lakeside			Winner
1999	Kripa Gurung	Tersapatti	2nd Runner Up	Miss Photogenic	Winner
2004	Anita Gurung	Bajapatan	2nd Runner Up	Miss Talent	Miss Paschimanchal 2003
2005	Chandra Gurung	Ghorepatan			
2011	Madina Begum	Pokreli		Miss Perseverance	
2012	Dilasha GC	Chindata			
2013	Sipora Gurung	Mahendrapool	3rd Runner Up	Miss Talent	
2014	Rashmi Adhikari	Goripatan	TBA	TBA	Winner
