Contestant	Original Tribe	Switched Tribe	Merged Tribe	Finish	Total Votes
Yelena Kondulaynen\n44.the actress	Pelicans			1st Voted Out\nDay 3	5
Kris Kelmi\n47.the singer	Barracudas			2nd Voted Out\nDay 6	1
Aleksandr Pashutin\n60.the actor	Barracudas			3rd Voted Out\nDay 9	7
Igor' Livanov\n49.the actor	Pelicans			Eliminated\nDay 11	0
Dana Borisova\n26.the TV presenter	Pelicans	Barracudas		4th Voted Out\nDay 12	5
Aleksandr Byalko\n50.the physicist	Pelicans	Barracudas		5th Voted Out\nDay 15	6
Tatyana Dogileva\n45.the actress	Pelicans	Barracudas		6th Voted Out\nDay 18	3
Tat'yana Ovsiyenko\n36.the singer	Barracudas	Pelicans		Eliminated\nDay 19	1
Viktor Gusev\n47.the sport commentator	Pelicans	Pelicans	Crocodiles	7th Voted Out\n1st Jury Member\nDay 21	6
Ivan Demidov\n39.the TV presenter	Barracudas	Pelicans	Crocodiles	Eliminated\n2nd Jury Member\nDay 23	3
Yelena Proklova\n49.the TV presenter	Pelicans	Barracudas	Crocodiles	8th Voted Out\n3rd Jury Member\nDay 24	4
Marina Aleksandrova\n20.the actress	Barracudas	Pelicans	Crocodiles	9th Voted Out\n4th Jury Member\nDay 27	6
Ivar Kalnynsh\n54.the actor			Crocodiles	10th Voted Out\n5th Jury Member\nDay 30	3
Vera Glagoleva\n46.the actress			Crocodiles	11th Voted Out\n6th Jury Member\nDay 33	4
Larisa Verbitskaya\n43.the TV presenter	Barracudas	Pelicans	Crocodiles	12th Voted Out\n7th Jury Member\nDay 36	11
Aleksandr Lykov\n41.the actor	Barracudas	Barracudas	Crocodiles	13th Voted Out\n8th Jury Member\nDay 37	6
Olga Orlova\n25.the singer	Barracudas	Baracudas	Crocodiles	Eliminated\n9th Jury Member\nDay 38	10
Yelena Perova\n26.the singer	Pelicans	Pelicans	Crocodiles	Runner-Up	2
Vladimir Presnyakov, Jr.\n34.the singer	Pelicans	Pelicans	Crocodiles	Sole Survivor	6
