Nation	Date	Quantity	Type	Notes
Netherlands	2001	2	4207	In 2001 the Netherlands ordered two vessels to serve in the Dutch customs' service. Visarend commissioned in 2001, Zeearend in 2002. now operated by the Dutch Coast Guard
United Kingdom	2001	4	4207	the UKBA 42m Customs Cutters Seeker, Searcher, Vigilant and Valiant are operated by the United Kingdom Border Agency.
Honduras	2013	2	4207	Honduran Navy 2 patrol vessels 4207 (FNH 1401 Lempira and FNH 1402 Morazan) and 6 Damen Interceptor 1102 in service 2013
Jamaica	2005	3	4207	The three vessels which form the County-class are HMJS Surrey, HMJS Cornwall and HMJS Middlesex. They were built in the Netherlands, and the last vessel was delivered in December 2006.
Barbados	2007	3	4207	Built for the Barbados Coast Guard. HMBS Leonard C Banfield and HMBS Rudyard Lewis were scheduled to be delivered in 2008. HMBS Trident was scheduled for delivery in 2009.
Albania	2007	4	4207	The Iliria and three other vessels: Oriku, Lisus and Butrindi operated by the Albanian Naval Defense Forces
South Africa	2004	3	4708	Lillian Ngoyi-class environmental inshore patrol vessels: Lillian Ngoyi, Ruth First and Victoria Mxenge are employed by the Department of Agriculture, Forestry and Fisheries.
Netherlands Antilles & Aruba	1998	3	4100	Jaguar, Panter and Poema employed by the Netherlands Antilles & Aruba Coast Guard.
Vietnam	2004	3	4100	SAR-411, SAR-412 and SAR-413 employed by Vietnam Coast Guard search and rescue service.
Canada	2009	9	4207	In 2009 the Department of Fisheries and Oceans announced it would be purchasing 9 patrol vessels for the Canadian Coast Guard. The Hero-class patrol vessels began entering service in 2011.
Mexico	2012	6	4207	The Mexican Navy – Armada de México – inducted the first two of what could be several Tenochtitlan-class coastal patrol boats.[citation needed] The two StanPatrol 4207 patrol boats – ARM Tenochtitlan (PC-331) and ARM Teotihuacan (PC-332) were built at a cost of $9 million USD each at ASTIMAR 1 in Tampico, Tamaulipas and completed in April and May 2012.
United States	2012		4708	The United States Coast Guard is proposing the purchase of 24-34 cutters as the Sentinel class.
Bulgaria	2010	1	4207	The Bulgarian Border Police accepted delivery of the Obzor on July 16, 2010.
Venezuela	2014	6	4207	The Bolivarian Armada of Venezuela ordered 6 vessels together with 6 Damen Ocean Patrol 5007 in March 2014. They are being built in UCOCAR shipyard with the assistance of DAMEX Shipbuilding & Engineering, Cuba.
Venezuela	2014	6	5009	The Bolivarian Armada of Venezuela ordered 6 vessels together with 6 Damen Stan Patrol 4207 in March 2014. They are being built in UCOCAR shipyard with the assistance of DAMEX Shipbuilding & Engineering, Cuba.
Bahama's	2013	4	4207	The Royal Bahamas Defence Forces ordered 4 vessels together with 4 x Sea Axe 3007 Patrols and 1 x Stan Lander 5612 Logistics Support and Landing Craft in April 2013.
Qatar	2014	6	5009	The Qatar Armed Forces ordered 6 vessels together with 1 x 52 meter Diving Support Vessel on March 31st 2014. The vessels are to be build by Nakilat Damen Shipyard Qatar
