Name	Season(s)	Position(s)	Notes
Omar Daal	2000–2001	Pitcher	15–16 record\n4.52 earned run average\n158 strikeouts
Babe Dahlgren	1943	First baseman	.287 batting average\n5 home runs\n56 runs batted in
Sam Dailey	1929	Pitcher	2–2 record\n7.54 earned run average\n18 strikeouts
Ed Daily	1885–1887	Outfielder\nPitcher	.230 batting average\n6 home runs\n42–36 record\n2.77 earned run average
Clay Dalrymple	1960–1968	Catcher	.234 batting average\n50 home runs\n312 runs batted in
Tony Daniels	1945	Second baseman	.200 batting average\n2 triples\n10 runs batted in
Alvin Dark	1960	Third baseman	.242 batting average\n3 home runs\n14 runs batted in
George Darrow	1934	Pitcher	2–6 record\n5.51 earned run average\n14 strikeouts
Darren Daulton§	1983\n1985–1997	Catcher	.245 batting average\n134 home runs\n567 runs batted in
Curt Davis	1934–1936	Pitcher	37–35 record\n3.42 earned run average\n191 strikeouts
Dick Davis	1981–1982	Right fielder	.311 batting average\n4 home runs\n26 runs batted in
Dixie Davis	1918	Pitcher	0–2 record\n3.06 earned run average\n18 strikeouts
Jacke Davis	1962	Left fielder	.213 batting average\n1 home run\n6 runs batted in
Kane Davis	2007	Pitcher	0–1 record\n5.56 earned run average\n10 strikeouts
Kiddo Davis	1932\n1934	Center fielder	.302 batting average\n11 triples\n105 runs batted in
Mark Davis	1980–1981\n1993	Pitcher	2–6 record\n6.31 earned run average\n62 strikeouts
Spud Davis	1928–1933\n1938–1939	Catcher	.321 batting average\n53 home runs\n363 runs batted in
Bill Dawley	1988	Pitcher	0–2 record\n13.50 earned run average\n3 strikeouts
Bill Day	1889–1890	Pitcher	1–4 record\n4.10 earned run average\n29 strikeouts
Justin De Fratus	2011	Pitcher	1–0 record\n2.25 earned run average\n3 strikeouts
Valerio de los Santos	2003	Pitcher	1–0 record\n9.00 earned run average\n4 strikeouts
Wayland Dean	1926–1927	Pitcher	8–17 record\n5.01 earned run average\n53 strikeouts
Art Decatur	1925–1927	Pitcher	7–18 record\n6.18 earned run average\n58 strikeouts
Harry Decker	1889–1890	Second baseman	.204 batting average\n1 double\n4 runs batted in
Pep Deininger	1908–1909	Center fielder	.260 batting average\n9 doubles\n16 runs batted in
Bill Deitrick	1927–1928	Left fielder\nShortstop	.198 batting average\n6 doubles\n7 runs batted in
Iván DeJesús	1982–1984	Shortstop	.249 batting average\n15 triples\n139 runs batted in
José DeJesús	1990–1991	Pitcher	17–17 record\n3.55 earned run average\n205 strikeouts
Bobby Del Greco	1960–1961\n1965	Center fielder	.240 batting average\n12 home runs\n37 runs batted in
Garton del Savio	1943	Shortstop	.091 batting average\n12 plate appearances\n1 walk
Ed Delahanty§	1888–1889\n1891–1901	Left fielder	.348 batting average\n442 doubles*\n157 triples*\n87 home runs
Tom Delahanty	1894	Second baseman	.250 batting average\n1 single\n4 plate appearances
José DeLeón	1992–1993	Pitcher	3–1 record\n3.19 earned run average\n41 strikeouts
