Place	Total	Men	Women	Children	Elderly	Serbs	Jews	Romani	Rusyns	Hungarians	Russians
Bečej	215	111	72	13	19	102	110	-	-	-	-
Vilovo	64	44	6	8	6	64	-	-	-	-	-
Gardinovci	37	32	3	-	2	37	-	-	-	-	-
Gospođinci	85	47	19	15	4	73	10	-	2	-	-
Đurđevo	223	107	60	41	15	173	22	-	27	-	-
Žabalj	666	355	141	101	69	614	28	23	-	1	-
Lok	47	46	-	-	1	46	-	-	-	1	-
Mošorin	205	94	41	44	26	170	-	34	-	1	-
Novi Sad	1,246	489	415	165	177	375	809	-	2	18	15
Srbobran	3	3	-	-	-	2	2	-	-	-	-
Temerin	48	14	15	7	12	6	42	-	-	-	-
Titel	51	45	-	1	5	49	1	-	-	-	-
Čurug	893	554	153	82	104	842	44	7	-	-	-
Šajkaš	26	24	2	-	-	25	1	-	-	-	-
All places	3,809	1,965	927	477	440	2,578	1,068	64	31	21	15
