"Medal","Name","Sport","Event","Date"
"Gold","Louis Chaillot, Maurice Perrin","Cycling","Men's tandem","August 3"
"Gold","Xavier Lesage","Equestrian","Individual dressage","August 10"
"Gold","André Jousseaume, Xavier Lesage,
Charles Marion","Equestrian","Team dressage","August 10"
"Gold","Georges Buchard, Philippe Cattiau,
Fernand Jourdant, Jean Piot,
Bernard Schmetz, Georges Tainturier","Fencing","Men's team épée","August 7"
"Gold","René Bondoux, René Bougnol,
Philippe Cattiau, Edward Gardère,
René Lemoine, Jean Piot","Fencing","Men's team foil","August 1"
"Gold","Jacques Lebrun","Sailing","Snowbird class","August 12"
"Gold","Raymond Suvigny","Weightlifting","Men's 60 kg","July 31"
"Gold","René Duverger","Weightlifting","Men's 67.5 kg","July 30"
"Gold","Louis Hostin","Weightlifting","Men's 82.5 kg","July 30"
"Gold","Charles Pacôme","Wrestling","Men's freestyle lightweight","August 3"
"Silver","Louis Chaillot","Cycling","Men's sprint","August 3"
"Silver","Paul Chocque, Amédée Fournier,
René Le Grèves, Henri Mouillefarine","Cycling","Men's team pursuit","August 2"
"Silver","Charles Marion","Equestrian","Individual dressage","August 10"
"Silver","Georges Buchard","Fencing","Men's épée","August 9"
"Silver","Jean Taris","Swimming","Men's 400 m freestyle","August 10"
"Bronze","Paul Winter","Athletics","Men's discus throw","August 3"
"Bronze","Charles Rampelberg","Cycling","Men's 1000 m time trial","August 1"
"Bronze","Pierre Brunet, Anselme Brusa,
André Giriat","Rowing","Men's coxed pair","August 13"
"Bronze","Louis François","Wrestling","Men's Greco-Roman bantamweight","August 7"
