Stations	Connections	City/ Neighborhood	Parking	Date Opened
North Hollywood	Metro Red Line  \nMetro Local: 152, 154, 156, 162, 183, 224, 353, 656\nLADOT Commuter Express: 549\nCity of Santa Clarita Transit: 757	North Hollywood	951 Spaces	October 29, 2005
Laurel Canyon	Metro Local: 156, 230, 656	Valley Village	None	October 29, 2005
Valley College	Metro Local: 156, 167, 656\nLADOT Commuter Express: 549\nLADOT DASH: Van Nuys/Studio City	Valley Glen	None	October 29, 2005
Woodman	Metro Local:154, 158	Valley Glen	None	October 29, 2005
Van Nuys	Metro Local:154, 156, 233, 237, 656\nMetro Rapid: 761\nLADOT DASH: Van Nuys/Studio City\nCity of Santa Clarita Transit: 793, 798	Van Nuys	776 Spaces	October 29, 2005
Sepulveda	Metro Local: 234\nMetro Rapid: 734	Van Nuys	1,205 Spaces	October 29, 2005
Woodley	Metro Local:164, 237	Van Nuys	None	October 29, 2005
Balboa	Metro Local: 164, 236, 237\nLADOT Commuter Express: 573, 574	Lake Balboa	270 Spaces	October 29, 2005
Reseda	Metro Rapid: 741\nMetro Local: 240	Tarzana	522 Spaces	October 29, 2005
Tampa	Metro Local: 242	Tarzana	n/a	October 29, 2005
Pierce College	Metro Local: 164, 243	Winnetka	373 Spaces	October 29, 2005
De Soto	Metro Local: 164, 244\nCity of Santa Clarita Transit: 796	Winnetka	n/a	October 29, 2005
Canoga	Metro Local:164, 165\nCity of Santa Clarita Transit: 796	Canoga Park	612 Spaces	December 27, 2006
Warner Center	Metro Local: 150, 161, 164, 245, 645\nMetro Rapid: 750\nLADOT Commuter Express: 422\nCity of Santa Clarita Transit: 791, 796\nVentura Intercity Service Transit Authority: Conejo Connection	Woodland Hills	n/a	October 29, 2005
Sherman Way	Metro Local: 162, 163	Canoga Park	Park & Ride Lot	June 30, 2012
Roscoe	Metro Local: 152, 353	Canoga Park	n/a	June 30, 2012
Nordhoff	Metro Local: 166, 364\nLADOT DASH Northridge	Chatsworth	n/a	June 30, 2012
Chatsworth	Metro Local: 158, 166, 167, 244, 245, 364\nLADOT Commuter Express: 419\nSimi Valley Transit: C\nSanta Clarita Transit: 791\nMetrolink Ventura County Line\nAmtrak Pacific Surfliner	Chatsworth	Parking Expanded	June 30, 2012
