"Year","Competition","Venue","Position","Event","Notes"
"2007","Pan Arab Games","Cairo, Egypt","4th","200 m","20.94 (NR)"
"2008","Asian Indoor Championships","Doha, Qatar","4th","60 m","6.81"
"2008","World Indoor Championships","Valencia, Spain","28th (h)","60 m","6.88"
"2008","World Junior Championships","Bydgoszcz, Poland","7th","200 m","21.10"
"2008","Olympic Games","Beijing, China","40th (h)","200 m","21.00"
"2009","Asian Indoor Games","Hanoi, Vietnam","4th","60 m","6.72 (NR)"
"2009","World Championships","Berlin, Germany","25th (qf)","200 m","20.97"
"2009","Asian Championships","Guangzhou, China","1st","200 m","21.07"
"2010","Asian Games","Guangzhou, China","3rd","200 m","20.83"
"2011","Asian Championships","Kobe, Jpan","3rd","200 m","20.97"
"2011","World Championships","Daegu, South Korea","48th (h)","200 m","21.45"
"2011","Pan Arab Games","Doha, Qatar","5th","100 m","21.59"
"2011","Pan Arab Games","Doha, Qatar","3rd","4x100 m","40.15"
