| Name                                  | Town                            | Deanery            | Vicariate | Founded | Original Ethnic Community |
| St. Adalbert                          | Enfield                         | Enfield            | Hartford  | 1915    | Polish                    |
| St. Aedan                             | New Haven                       | New Haven          | New Haven | 1900    | None                      |
| St. Agnes                             | Woodmont (Milford)              | West Shore Line    | New Haven | 1906    | None                      |
| St. Aloysius                          | Plantsville (Southington)       | Meriden            | New Haven | 1961    | None                      |
| St. Andrew                            | New Britain                     | New Britain        | Hartford  | 1895    | Lithuanian                |
| St. Ann                               | Avon                            | Farmington Valley  | Hartford  | 1917    | None                      |
| St. Ann                               | Bristol                         | Bristol            | Waterbury | 1908    | French                    |
| St. Ann                               | Hamden                          | Hamden-North Haven | New Haven | 1919    | Italian                   |
| St. Ann                               | Milford                         | West Shore Line    | New Haven | 1924    | None                      |
| St. Ann                               | New Britain                     | New Britain        | Hartford  | 1938    | Italian                   |
| St. Anne                              | Waterbury                       | Waterbury          | Waterbury | 1886    | French                    |
| St. Anne-Immaculate Conception        | Hartford                        | Hartford           | Hartford  | 2000    | Multi-ethnic              |
| St. Anthony                           | Ansonia                         | Ansonia-Derby      | Waterbury | 1915    | Lithuanian                |
| St. Anthony                           | Bristol                         | Bristol            | Waterbury | 1920    | Italian                   |
| St. Anthony                           | New Haven                       | New Haven          | New Haven | 1904    | Italian                   |
| St. Anthony                           | Prospect                        | Naugatuck-Cheshire | Waterbury | 1943    | None                      |
| St. Anthony of Padua                  | Litchfield                      | Litchfield         | Waterbury | 1882    | None                      |
| Ascension                             | Hamden                          | Hamden-North Haven | New Haven | 1964    | None                      |
| Assumption                            | Ansonia                         | Ansonia-Derby      | Waterbury | 1870    | None                      |
| Assumption                            | Manchester                      | Manchester         | Hartford  | 1955    | None                      |
| Church of the Assumption              | Woodbridge                      | West Shore Line    | New Haven | 1924    | None                      |
| St. Augustine                         | Hartford                        | Hartford           | Hartford  | 1902    | None                      |
| St. Augustine                         | North Branford                  | East Shore Line    | New Haven | 1941    | None                      |
| St. Augustine                         | Seymour                         | Ansonia-Derby      | Waterbury | 1866    | None                      |
| St. Augustine                         | South Glastonbury (Glastonbury) | Manchester         | Hartford  | 1877    | None                      |
| St. Barnabas                          | North Haven                     | Hamden-North Haven | New Haven | 1922    | None                      |
| St. Bartholomew                       | Manchester                      | Manchester         | Hartford  | 1958    | None                      |
| St. Bernadette                        | New Haven                       | New Haven          | New Haven | 1938    | None                      |
| St. Bernard                           | Enfield                         | Enfield            | Hartford  | 1870    | None                      |
| St. Bernard                           | Sharon                          | Litchfield         | Waterbury | 1885    | None                      |
| St. Bernard                           | Tariffville (Simsbury)          | Farmington Valley  | Hartford  | 1878    | None                      |
| Blessed Sacrament                     | East Hartford                   | Manchester         | Hartford  | 1948    | None                      |
| Blessed Sacrament                     | Hamden                          | Hamden-North Haven | New Haven | 1939    | None                      |
| Blessed Sacrament                     | Waterbury                       | Waterbury          | Waterbury | 1911    | None                      |
| St. Boniface                          | New Haven                       | New Haven          | New Haven | 1868    | German                    |
| St. Brendan                           | New Haven                       | New Haven          | New Haven | 1913    | None                      |
| St. Bridget                           | Cheshire                        | Naugatuck-Cheshire | Waterbury | 1871    | None                      |
| St. Bridget                           | Cornwall Bridge (Sharon)        | Litchfield         | Waterbury | 1883    | None                      |
| St. Bridget                           | Manchester                      | Manchester         | Hartford  | 1870    | None                      |
| St. Brigid                            | West Hartford                   | Suburban Hartford  | Hartford  | 1919    | None                      |
| St. Casimir                           | Terryville (Plymouth)           | Bristol            | Waterbury | 1906    | None                      |
| St. Catherine                         | Broad Brook (East Windsor)      | Enfield            | Hartford  | 1886    | None                      |
| St. Catherine of Siena                | West Simsbury (Simsbury)        | Farmington Valley  | Hartford  | 1971    | None                      |
| Christ the Redeemer                   | Milford                         | West Shore Line    | New Haven | 1966    | None                      |
| St. Christopher                       | East Hartford                   | Manchester         | Hartford  | 1965    | None                      |
| St. Clare                             | East Haven                      | East Shore Line    | New Haven | 1947    | None                      |
| Corpus Christi                        | Wethersfield                    | Suburban Hartford  | Hartford  | 1941    | None                      |
| SS. Cyril and Methodius               | Hartford                        | Hartford           | Hartford  | 1902    | Polish                    |
| St. Dominic                           | Southington                     | Meriden            | New Haven | 1971    | None                      |
| St. Donato                            | New Haven                       | New Haven          | New Haven | 1915    | Italian                   |
| St. Dunstan                           | Glastonbury                     | Manchester         | Hartford  | 1971    | None                      |
| St. Elizabeth                         | Branford                        | East Shore Line    | New Haven | 1966    | None                      |
| St. Elizabeth Seton                   | Rocky Hill                      | Suburban Hartford  | Hartford  | 1985    | None                      |
| Church of the Epiphany                | Cheshire                        | Naugatuck-Cheshire | Waterbury | 1967    | None                      |
| St. Frances Cabrini                   | North Haven                     | Hamden-North Haven | New Haven | 1967    | None                      |
| St. Francis                           | New Haven                       | New Haven          | New Haven | 1868    | None                      |
| St. Francis of Assisi                 | Naugatuck                       | Naugatuck-Cheshire | Waterbury | 1866    | None                      |
| St. Francis of Assisi                 | New Britain                     | New Britain        | Hartford  | 1941    | None                      |
| St. Francis of Assisi                 | South Windsor                   | Manchester         | Hartford  | 1941    | None                      |
| St. Francis of Assisi                 | Torrington                      | Litchfield         | Waterbury | 1877    | None                      |
| St. Francis Xavier                    | New Milford                     | Suburban Waterbury | Waterbury | 1871    | None                      |
| St. Francis Xavier                    | Waterbury                       | Waterbury          | Waterbury | 1896    | None                      |
| St. Gabriel                           | Milford                         | West Shore Line    | New Haven | 1946    | None                      |
| St. Gabriel                           | Windsor                         | Farmington Valley  | Hartford  | 1894    | None                      |
| St. George                            | Guilford                        | East Shore Line    | New Haven | 1870    | None                      |
| St. Gertrude                          | Windsor                         | Farmington Valley  | Hartford  | 1947    | None                      |
| Good Shepherd                         | Seymour                         | Ansonia-Derby      | Waterbury | 1967    | None                      |
| St. Gregory the Great                 | Bristol                         | Bristol            | Waterbury | 1957    | None                      |
| St. Hedwig                            | Union City (Naugatuck)          | Naugatuck-Cheshire | Waterbury | 1906    | Polish                    |
| St. Helena                            | West Hartford                   | Suburban Hartford  | Hartford  | 1966    | None                      |
| Holy Angels                           | Meriden                         | Meriden            | New Haven | 1887    | None                      |
| Holy Cross                            | New Britain                     | New Britain        | Hartford  | 1927    | Polish                    |
| Holy Family                           | Enfield                         | Enfield            | Hartford  | 1965    | None                      |
| Holy Infant                           | Orange                          | West Shore Line    | New Haven | 1952    | None                      |
| Holy Rosary                           | Ansonia                         | Ansonia-Derby      | Waterbury | 1908    | Italian                   |
| Holy Spirit                           | Newington                       | Suburban Hartford  | Hartford  | 1964    | None                      |
| Holy Trinity                          | Hartford                        | Hartford           | Hartford  | 1900    | Lithuanian                |
| Immaculate Conception                 | New Hartford                    | Litchfield         | Waterbury | 1869    | None                      |
| Immaculate Conception                 | Norfolk                         | Litchfield         | Waterbury | 1889    | None                      |
| Immaculate Conception                 | Southington                     | Meriden            | New Haven | 1915    | None                      |
| Immaculate Conception                 | Terryville (Plymouth)           | Bristol            | Waterbury | 1882    | None                      |
| Basilica of the Immaculate Conception | Waterbury                       | Waterbury          | Waterbury | 1847    | None                      |
| Immaculate Heart of Mary              | Harwinton                       | Litchfield         | Waterbury | 1956    | None                      |
| Incarnation                           | Wethersfield                    | Suburban Hartford  | Hartford  | 1963    | None                      |
| St. Isaac Jogues                      | East Hartford                   | Manchester         | Hartford  | 1964    | None                      |
| St. James                             | Manchester                      | Manchester         | Hartford  | 1874    | None                      |
| St. James                             | Rocky Hill                      | Suburban Hartford  | Hartford  | 1880    | None                      |
| St. Jerome                            | New Britain                     | New Britain        | Hartford  | 1958    | None                      |
