"Name","Nationality","Position","Spartak career","Appearances","Goals"
"Nikolay Abramov","Soviet Union","DF","1969–76","137","1"
"Anatoli Akimov","Soviet Union","GK","1936–37, 1939–41","60","0"
"Dmitri Alenichev","Russia","MF","1994–98, 2004–06","143","21"
"Alex","Brazil","MF","2009–present","29","12"
"Vyacheslav Ambartsumyan","Soviet Union","MF","1959, 1963–71","165","31"
"Dimitri Ananko","Russia","DF","1990–94, 1995–2002","150","1"
"Valeri Andreyev","Soviet Union","FW","1970–76, 1977","97","21"
"Sergei Artemyev","Soviet Union","MF","1936–40","53","0"
"Vasili Baranov","Belarus","MF","1998–2003","120","18"
"Nikita Bazhenov","Russia","FW","2004–present","92","17"
"Sergei Bazulev","Soviet Union","DF","1983–84, 1989–91","90","0"
"Vladimir Beschastnykh","Russia","FW","1991–94, 2001–02","104","56"
"Artyom Bezrodny","Russia","MF","1995–97, 1998–2003","55","10"
"Denis Boyarintsev","Russia","MF","2005–07, 2009","91","9"
"Aleksandr Bubnov","Soviet Union","DF","1983–89","169","3"
"Vladimir Bukiyevskiy","Soviet Union","DF","1972–79, 1982","199","6"
"Viktor Bulatov","Russia","MF","1999–2001","87","7"
"Mikhail Bulgakov","Soviet Union","MF","1970–79","205","39"
"Yevgeni Bushmanov","Russia","DF","1989–92, 1998–2000","58","2"
"Maksim Buznikin","Russia","FW","1997–99, 2000","55","18"
"Vladimir Bystrov","Russia","MF","2005–09","99","17"
"Fernando Cavenaghi","Argentina","FW","2004–06","51","12"
"Stanislav Cherchesov","Russia","GK","1984–87, 1989–93, 1995, 2002","149","0"
"Fyodor Cherenkov","Russia","MF","1977–90, 1991, 1993","398","95"
"Vladimir Chernyshev","Soviet Union","GK","1946–55","74","0"
"Viktor Chistyakov","Soviet Union","MF","1957–62","51","3"
"Boris Chuchelov","Soviet Union","FW","1948","19","11"
"Serghei Covalciuc","Moldova","MF","2004–09","90","2"
"Rinat Dasayev","Soviet Union","GK","1977–88","335","0"
"Nikolay Dementyev","Soviet Union","FW","1946–54","186","55"
"Valeri Dikaryov","Soviet Union","DF","1961–67","192","1"
"Vadim Evseev","Russia","DF","1993–98, 1999","62","3"
"Yuri Falin","Soviet Union","MF","1961–65, 1967","133","34"
"Malik Fathi","Germany","DF","2008–09","37","6"
"Aleksandr Filimonov","Russia","GK","1996–2001","147","0"
"Yuri Gavrilov","Soviet Union","MF","1977–85","280","89"
"Edgar Gess","Soviet Union","MF","1979–83","114","26"
"Valeri Gladilin","Soviet Union","MF","1974–78, 1983–84","169","28"
"Georgi Glazkov","Soviet Union","FW","1936–41, 1946–47","106","48"
"Sergei Gorlukovich","Russia","DF","1996–98","83","5"
"Aleksandr Grebnev","Soviet Union","DF","1966–69","54","1"
"Nikolai Gulyayev","Soviet Union","MF","1937–46","76","7"
"Anatoli Ilyin","Soviet Union","FW","1949–62","228","84"
"Anatoli Isayev","Soviet Union","FW","1953–62","159","53"
"Valentin Ivakin","Soviet Union","GK","1957–62","101","0"
"Andrei Ivanov","Russia","DF","1983–85, 1988–89, 1990–94, 1995","109","0"
"Vadim Ivanov","Soviet Union","DF","1969–71","75","2"
"Martin Jiránek","Czech Republic","DF","2004–present","126","3"
"Aleksandr Kalashnikov","Soviet Union","FW","1978–82","67","16"
"Vasili Kalinov","Soviet Union","MF","1969–72","83","10"
"Maksym Kalynychenko","Ukraine","MF","2000–08","134","22"
"Anatoli Kanishchev","Russia","FW","1998, 1999","25","6"
"Vladimir Kapustin","Soviet Union","MF","1985–89","51","1"
"Valery Karpin","Russia","MF","1990–94","117","28"
"Anzor Kavazashvili","Soviet Union","GK","1969–71","74","0"
"Valery Kechinov","Russia","MF","1993–2000","112","35"
"Vagiz Khidiyatullin","Soviet Union","DF","1976–80, 1986–88","185","22"
"Dmitri Khlestov","Russia","DF","1989–2000, 2002","201","6"
"Serafim Kholodkov","Soviet Union","DF","1941, 1946–49","90","0"
"Galimzyan Khusainov","Soviet Union","FW","1961–73","346","102"
"Nikolai Kiselyov","Soviet Union","MF","1968–73, 1975–76","131","16"
"Aleksandr Kokorev","Soviet Union","MF","1972–80","90","4"
"Ivan Konov","Soviet Union","FW","1945–48","85","31"
"Viktor Konovalov","Soviet Union","MF","1960–61","24","5"
"Alexey Korneyev","Soviet Union","DF","1957–67","177","0"
"Pavel Kornilov","Soviet Union","FW","1938–41","65","38"
"Radoslav Kováč","Czech Republic","MF","2005–08","101","9"
"Yuri Kovtun","Russia","DF","1999–2005","122","7"
"Wojciech Kowalewski","Poland","GK","2003–07","94","0"
"Anatoly Krutikov","Soviet Union","DF","1959–69","269","9"
"Dmitri Kudryashov","Russia","MF","2002","22","5"
"Vasili Kulkov","Russia","DF","1986, 1989–91, 1995, 1997","93","4"
"Boris Kuznetsov","Soviet Union","DF","1985–88, 1989–90","90","0"
"Yevgeni Kuznetsov","Soviet Union","MF","1982–89","209","23"
"Igor Lediakhov","Russia","MF","1992–94","65","21"
"Aleksei Leontyev","Soviet Union","GK","1940–49","109","0"
"Boris Lobutev","Soviet Union","FW","1957–60","15","7"
"Gennady Logofet","Soviet Union","DF","1960–75","349","27"
"Evgeny Lovchev","Soviet Union","MF","1969–78","249","30"
"Konstantin Malinin","Soviet Union","DF","1939–50","140","7"
"Ramiz Mamedov","Russia","DF","1991–98","125","6"
"Valeri Masalitin","Russia","FW","1994–95","7","5"
"Vladimir Maslachenko","Soviet Union","GK","1962–68","196","0"
