"Month","Year","Player","County","Club","Position"
"April","2006","Mark Foley","Limerick","Adare","4"
"May","2006","Eoin Kelly","Tipperary","Mullinahone","15"
"June","2006","Joe Deane","Cork","Killeagh","15"
"July","2006","Dan Shanahan","Waterford","Lismore","10"
"August","2006","Henry Shefflin","Kilkenny","Ballyhale Shamrocks","14"
"September","2006","James Fitzpatrick","Kilkenny","Ballyhale Shamrocks","9"
"April","2007","Séamus Prendergast","Waterford","Ardmore","14"
"May","2007","Ronan Curran","Cork","St. Finbarr's","6"
"June","2007","Ollie Moran","Limerick","Ahane","11"
"July","2007","Dan Shanahan","Waterford","Lismore","10"
"August","2007","Andrew O'Shaughnessy","Limerick","Kilmallock","13"
"September","2007","Eddie Brennan","Kilkenny","Graigue-Ballycallan","13"
"April","2008","Shane McGrath","Tipperary","Ballinahinch","9"
"May","2008","David O'Callaghan","Dublin","St. Mark's","13"
"June","2008","Brian O'Connell","Clare","Wolfe Tones","8"
"July","2008","Joe Canning","Galway","Portumna","14"
"August","2008","Derek Lyng","Kilkenny","Emeralds","9"
"September","2008","Eoin Larkin","Kilkenny","James Stephens","12"
"April","2009","Alan McCrabbe","Dublin","Craobh Chiaráin","15"
"May","2009","Eoin Cadogan","Cork","Douglas","3"
"June","2009","John Mullane","Waterford","De La Salle","13"
"July","2009","John Mullane","Waterford","De La Salle","13"
"August","2009","Henry Shefflin","Kilkenny","Ballyhale Shamrocks","14"
"September","2009","Tommy Walsh","Kilkenny","Tullaroan","5"
"April","2010","Ger Farragher","Galway","Castlegar","8"
"May","2010","Ger Farragher","Galway","Castlegar","8"
"June","2010","Damien Hayes","Galway","Portumna","14"
"July","2010","Michael Walsh","Waterford","Stradbally","6"
"September","2010","Lar Corbett","Tipperary","Thurles Sarsfield's","11"
"May","2011","Conal Keaney","Dublin","Ballyboden St. Enda's","12"
"June","2011","Pádraic Maher","Tipperary","Thurles Sarsfield's","6"
"July","2011","Lar Corbett","Tipperary","Thurles Sarsfield's","12"
"August","2011","Michael Fennelly","Kilkenny","Ballyhale Shamrocks","8"
"September","2011","Tommy Walsh","Kilkenny","Tullaroan","5"
"May","2012","Willie Hyland","Laois","Clough-Ballacolla","7"
"June","2012","Patrick Maher","Tipperary","Lorrha-Dorrha","11"
"July","2012","Kevin Moran","Waterford","De La Salle","7"
"August","2012","Joe Canning","Galway","Portumna","13"
"September","2012","Henry Shefflin","Kilkenny","Ballyhale Shamrocks","15"
"May","2013","Cahir Healy","Laois","Portlaoise","8"
"June","2013","Richie McCarthy","Limerick","Blackrock","3"
"July","2013","Paul Ryan","Dublin","Ballyboden St. Enda's","14"
"August","2013","Tony Kelly","Clare","Ballyea","11"
"September","2013","Shane O'Donnell","Clare","Éire Óg","14"
