"Year","Competition","Venue","Position","Notes"
"2003","World Youth Championships","Sherbrooke, Canada","7th","1.75 m"
"2004","World Junior Championships","Grosseto, Italy","9th","1.80 m"
"2005","European Junior Championships","Kaunas, Lithuania","4th","1.82 m"
"2009","European Indoor Championships","Turin, Italy","5th","1.92 m"
"2010","World Indoor Championships","Doha, Qatar","10th (q)","1.89 m"
"2010","European Championships","Barcelona, Spain","13th (q)","1.90 m"
"2011","Universiade","Shenzhen, China","4th","1.86 m"
"2012","World Indoor Championships","Istanbul, Turkey","9th (q)","1.92 m"
"2012","European Championships","Helsinki, Finland","3rd","1.92 m"
"2012","Olympic Games","London, United Kingdom","10th","1.93 m"
"2013","World Championships","Moscow, Russia","9th","1.93 m"
"2014","World Indoor Championships","Sopot, Poland","13th (q)","1.92 m"
