"Name","Date of birth","Club","Division","Appointed","Time as manager"
"Francis Bosschaerts","15 October 1956","Heist","Belgian Second Division","1 June 1999","15 years, 25 days"
"Peter Maes","1 June 1964","Lokeren","Belgian Pro League","20 May 2010","4 years, 37 days"
"Hein Vanhaezebrouck","16 February 1964","Kortrijk","Belgian Pro League","6 June 2010","4 years, 20 days"
"Frederik Vanderbiest","10 October 1977","Oostende","Belgian Pro League","15 February 2011","3 years, 131 days"
"Arnauld Mercier","4 June 1972","Boussu Dour","Belgian Second Division","21 April 2011","3 years, 66 days"
"Frank Defays","23 January 1974","Virton","Belgian Second Division","6 June 2011","3 years, 20 days"
"Serhiy Serebrennikov","1 September 1976","Roeselare","Belgian Second Division","30 June 2011","2 years, 361 days"
"Regi Van Acker","25 April 1955","Hoogstraten","Belgian Second Division","23 November 2011","2 years, 215 days"
"Francky Dury","11 October 1957","Zulte Waregem","Belgian Pro League","30 December 2011","2 years, 178 days"
"Dante Brogno","2 May 1966","Tubize","Belgian Second Division","26 February 2012","2 years, 120 days"
"Eric Franken","","ASV Geel","Belgian Second Division","20 March 2012","2 years, 98 days"
"John van den Brom","4 October 1966","Anderlecht","Belgian Pro League","30 May 2012","2 years, 27 days"
"Tintín Márquez","7 January 1962","Eupen","Belgian Second Division","6 July 2012","1 year, 355 days"
"Lorenzo Staelens","30 April 1964","Cercle Brugge","Belgian Pro League","2 April 2013","1 year, 85 days"
"Dennis van Wijk","16 December 1962","Westerlo","Belgian Second Division","29 April 2013","1 year, 58 days"
"Stanley Menzo","15 October 1963","Lierse","Belgian Pro League","14 May 2013","1 year, 43 days"
"Yannick Ferrera","24 September 1980","Sint-Truiden","Belgian Second Division","24 May 2013","1 year, 33 days"
"Guy Luzon","7 August 1975","Standard Liège","Belgian Pro League","27 May 2013","1 year, 30 days"
"Jimmy Floyd Hasselbaink","27 March 1972","Antwerp","Belgian Second Division","29 May 2013","1 year, 28 days"
"Philippe Médery","","Visé","Belgian Second Division","31 May 2013","1 year, 26 days"
"Felice Mazzu","12 March 1966","Charleroi","Belgian Pro League","1 June 2013","1 year, 25 days"
"Stijn Vreven","18 July 1973","Lommel United","Belgian Second Division","1 June 2013","1 year, 25 days"
"Michel Preud'homme","24 January 1959","Club Brugge","Belgian Pro League","21 September 2013","0 years, 278 days"
"Lionel Bah","2 February 1980","WS Brussels","Belgian Second Division","21 September 2013","0 years, 278 days"
"Guido Brepoels","7 June 1961","Dessel Sport","Belgian Second Division","24 September 2013","0 years, 275 days"
"Čedomir Janevski","3 July 1961","Mons","Belgian Pro League","27 September 2013","0 years, 272 days"
"Mircea Rednic","9 April 1962","Gent","Belgian Pro League","1 October 2013","0 years, 268 days"
"Bob Peeters","10 January 1974","Waasland-Beveren","Belgian Pro League","5 November 2013","0 years, 233 days"
"Rachid Chihab","","Mouscron-Péruwelz","Belgian Second Division","19 December 2013","0 years, 189 days"
"Franky Vercauteren","28 October 1956","Mechelen","Belgian Pro League","5 January 2014","0 years, 172 days"
"Jean-Guy Wallemme","10 August 1967","RWDM Brussels","Belgian Second Division","30 January 2014","0 years, 147 days"
"René Desaeyere","14 September 1947","Aalst","Belgian Second Division","5 February 2014","0 years, 141 days"
"Emilio Ferrera","19 June 1967","Genk","Belgian Pro League","24 February 2014","0 years, 122 days"
"Ivan Leko","7 February 1978","OH Leuven","Belgian Pro League","25 February 2014","0 years, 121 days"
