City	County	Population (2011)	Population (2002)	Altitude (m)	Year status\ngranted* or\nfirst attested†
Bucharest	-	1,883,425	1,926,334	85	1459†
Cluj-Napoca	Cluj	324,576	317,953	360	1316*
Timișoara	Timiș	319,279	317,660	90	1342*
Iași	Iași	290,422	320,888	95	1408†
Constanța	Constanța	283,872	310,471	25	260 BC†
Craiova	Dolj	269,506	302,601	100	1475†
Brașov	Brașov	253,200	284,596	625	1235†
Galați	Galați	249,432	298,861	55	1445†
Ploiești	Prahova	209,945	232,527	150	1596†
Oradea	Bihor	196,367	206,614	150	1113†
Brăila	Brăila	180,302	216,292	20	1368†
Arad	Arad	159,074	172,824	107	1028†
Pitești	Argeș	155,383	168,458	287	1388†
Sibiu	Sibiu	147,245	154,892	415	1366†
Bacău	Bacău	144,307	175,500	165	1408†
Târgu Mureș	Mureș	134,290	149,577	330	1332*
Baia Mare	Maramureș	123,738	137,976	225	1329†
Buzău	Buzău	115,494	133,116	95	1431†
Botoșani	Botoșani	106,847	115,344	130	1439†
Satu Mare	Satu Mare	102,411	115,630	123	1213†
Râmnicu Vâlcea	Vâlcea	98,776	107,656	250	1388†
Drobeta-Turnu Severin	Mehedinți	92,617	104,035	65	121 AD†/1833*
Suceava	Suceava	92,121	106,138	325	1388†
Piatra Neamț	Neamț	85,055	105,499	345	1491†
Târgu Jiu	Gorj	82,504	96,562	205	
Târgoviște	Dâmbovița	79,610	89,429	280	
Focșani	Vrancea	79,315	103,219	55	1575†
Bistrița	Bistrița-Năsăud	75,076	81,467	360	1349*
Tulcea	Tulcea	73,707	92,762	30	
Reșița	Caraș-Severin	73,282	83,985	245	1925*
Slatina	Olt	70,293	79,171	135	1368†
Călărași	Călărași	65,181	70,039	13	1534†
Alba Iulia	Alba	63,536	66,369	330	1097†
Giurgiu	Giurgiu	61,353	69,587		1395†
Deva	Hunedoara	61,123	69,390		1269†
Hunedoara	Hunedoara	60,525	71,380	240	
Zalău	Sălaj	56,202	63,305		1473*
Sfântu Gheorghe	Covasna	56,006	61,512		1332†/1832*
Bârlad	Vaslui	55,837	69,183		
Vaslui	Vaslui	55,407	70,267		
Roman	Neamț	50,713	69,483		
Turda	Cluj	47,744	55,770		1075†
Mediaș	Sibiu	47,204	55,203		1359*
Slobozia	Ialomița	45,891	52,677		
Alexandria	Teleorman	45,434	50,591		1840*
Voluntari	Ilfov	42,944	30,016		2004*
Lugoj	Timiș	40,361	44,571		
Medgidia	Constanța	39,780	43,867		
Onești	Bacău	39,172	51,681		1956*
Miercurea Ciuc	Harghita	38,966	41,852		
Sighetu Marmației	Maramureș	37,640	41,246		
Petroșani	Hunedoara	37,160	45,447		1930*
Mangalia	Constanța	36,364	40,037		
Tecuci	Galați	34,871	42,012		
Odorheiu Secuiesc	Harghita	34,257	36,926		
Râmnicu Sărat	Buzău	33,843	38,805		
Pașcani	Iași	33,745	42,172		
Dej	Cluj	33,497	38,478		
Reghin	Mureș	33,281	36,023		
Năvodari	Constanța	32,981	32,400		1968*
Câmpina	Prahova	32,935	38,758		1864*
Mioveni	Argeș	31,998	35,849		1989*
Câmpulung	Argeș	31,767	38,285		
Caracal	Olt	30,954	34,603		1538†
Săcele	Brașov	30,798	29,967		1971*
Făgăraș	Brașov	30,714	36,121		1291†
Fetești	Ialomița	30,217	33,197		1965*
Sighișoara	Mureș	28,102	32,287		1367*
Borșa	Maramureș	27,611	27,247		1968*
Roșiorii de Vede	Teleorman	27,416	31,873		
Curtea de Argeș	Argeș	27,359	32,626		1330†
Sebeș	Alba	27,019	29,475		
Huși	Vaslui	26,266	33,320		
Fălticeni	Suceava	25,723	33,867		
Pantelimon	Ilfov	25,596	16,019		2005*
Oltenița	Călărași	24,822	31,434		
Turnu Măgurele	Teleorman	24,772	30,187		
Caransebeș	Caraș-Severin	24,689	31,199		
Dorohoi	Botoșani	24,309	31,073		
Vulcan	Hunedoara	24,160	33,186		1953*
Rădăuți	Suceava	23,822	32,151		
Zărnești	Brașov	23,476	26,520		1951*
Lupeni	Hunedoara	23,390	31,409		1941*/1960*
Aiud	Alba	22,876	28,909		
Petrila	Hunedoara	22,692	28,742		1956*
Câmpia Turzii	Cluj	22,223	29,852		
Buftea	Ilfov	22,178	19,617		1968*
Târnăveni	Mureș	22,075	29,828		1912*
Popești-Leordeni	Ilfov	21,895	15,115		2004*
Moinești	Bacău	21,787	25,532		
Codlea	Brașov	21,708	24,814		1950*
Cugir	Alba	21,376	30,244		1960*
Carei	Satu Mare	21,112	25,590		1871*
Gherla	Cluj	20,982	24,232		
Blaj	Alba	20,630	21,819		1271†
Comănești	Bacău	19,568	26,237		1952*
Motru	Gorj	19,079	25,860		1966*
Târgu Neamț	Neamț	18,695	22,634		
Moreni	Dâmbovița	18,687	22,868		1948*
Târgu Secuiesc	Covasna	18,491	22,251		
Gheorgheni	Harghita	18,377	21,245		
Orăștie	Hunedoara	18,227	24,354		
Balș	Olt	18,164	23,147		1921*
Băicoi	Prahova	17,981	20,234		1948*
Drăgășani	Vâlcea	17,871	22,499		
Salonta	Bihor	17,735	20,006		
Băilești	Dolj	17,437	22,231		1921*
Calafat	Dolj	17,336	21,227		
Cernavodă	Constanța	17,022	20,514		
Filiași	Dolj	16,900	20,159		1968*
Câmpulung Moldovenesc	Suceava	16,722	21,862		1866*
Corabia	Olt	16,441	21,932		1871*
Adjud	Vrancea	16,045	20,776		
Breaza	Prahova	15,928	18,863		1952*
Bocșa	Caraș-Severin	15,842	19,023		1960*
Marghita	Bihor	15,770	18,650		1967*
Baia Sprie	Maramureș	15,476	15,735		
Bragadiru	Ilfov	15,329	8,165		2005*
Luduș	Mureș	15,328	18,647		1960*
Urziceni	Ialomița	15,308	19,088		
Vișeu de Sus	Maramureș	15,037	18,444		1956*
Râșnov	Brașov	15,022	16,242		
Buhuși	Bacău	14,562	21,993		1930*
Ștefănești	Argeș	14,541	12,983		2004*
Brad	Hunedoara	14,495	18,075		1941*
Șimleu Silvaniei	Sălaj	14,436	17,053		
Vatra Dornei	Suceava	14,429	17,864		1907*
Mizil	Prahova	14,312	17,075		1830*
Cisnădie	Sibiu	14,282	17,204		1948*
Pucioasa	Dâmbovița	14,254	16,489		1929*
Chitila	Ilfov	14,184	12,643		2005*
Zimnicea	Teleorman	14,058	16,787		
Toplița	Harghita	13,929	16,839		1956*
Otopeni	Ilfov	13,861	10,515		2000*
Ovidiu	Constanța	13,847	13,458		1989*
Gura Humorului	Suceava	13,667	16,740		1904*
Găești	Dâmbovița	13,317	16,598		
Vicovu de Sus	Suceava	13,308	14,125		2004*
Țăndărei	Ialomița	13,219	14,591		1968*
Ocna Mureș	Alba	13,036	15,697		1956*
Bolintin-Vale	Giurgiu	12,929	11,464		1989*
Avrig	Sibiu	12,815	16,215		1989*
Pecica	Arad	12,762	13,024		2004*
Simeria	Hunedoara	12,556	14,571		1956*
Moldova Nouă	Caraș-Severin	12,350	15,112		1968*
