Place	Rider	Country	Team	Points	Wins
1	Sylvain Geboers	Belgium	Suzuki	3066	3
2	Adolf Weil	Germany	Maico	2331	2
3	Torlief Hansen	Sweden	Husqvarna	2052	0
4	Roger De Coster	Belgium	Suzuki	1865	3
5	Joel Robert	Belgium	Suzuki	1730	1
6	Heikki Mikkola	Finland	Husqvarna	1680	2
7	Willy Bauer	Germany	Maico	1276	0
8	Gaston Rahier	Belgium	ČZ	1112	0
9	Pierre Karsmakers	Netherlands	Husqvarna	1110	0
10	Dave Bickers	United Kingdom	ČZ	1076	0
11	John Banks	United Kingdom	ČZ	971	0
12	Andy Roberton	United Kingdom	Husqvarna	810	0
13	Vlastimil Valek	Czechoslovakia	ČZ	709	0
14	Mark Blackwell	United States	Husqvarna	604	0
15	Brad Lackey	United States	ČZ	603	0
16	Gary Jones	United States	Yamaha	439	0
17	John DeSoto	United States	Suzuki	425	0
18	Chris Horsefield	United Kingdom	ČZ	416	0
19	Uno Palm	Sweden	Husqvarna	324	0
20	Peter Lamppu	United States	Montesa	309	0
