"Date","Race Name","Location","UCI Rating","Winner","Team"
"16–21 January","La Tropicale Amissa Bongo","Gabon","2.2","Frédéric Guesdon (FRA)","Française des Jeux"
"8–14 February","Tour d'Egypte","Egypt","2.2","Waylon Woolcock (RSA)","South Africa (national team)"
"16 February","GP of Sharm el-Sheikh","Egypt","1.2","Ján Šipeky (SVK)","Dukla Trenčín-Merida"
"24 February–9 March","Tour du Cameroun","Cameroon","2.2","Flavien Chipault (FRA)","Leboulou"
"6–11 March","Giro del Capo","South Africa","2.2","Alexander Efimkin (RUS)","Barloworld"
"17–23 March","Tour of Libya","Libya","2.2","Ahmed Mohamed Ali (LBA)","Libya (national team)"
"8 April","Grand Prix de la ville de Tunis","Tunisia","1.2","Ahmed Mraihi (TUN)","Tunisia (national team)"
"28 April–5 May","Tour de la Pharmacie Centrale de Tunisie","Tunisia","2.2","Hassen Ben Nasser (TUN)","Pharmacie Centrale"
"14–20 May","Boucle du Coton","Burkina Faso","2.2","Saïdou Rouamba (BUR)","Burkina Faso (national team)"
"8–17 June","Tour du Maroc","Morocco","2.2","Nicholas White (RSA)","South Africa (national team)"
"30 August–8 September","Tour du Sénégal","Senegal","2.2","Adil Jelloul (MAR)","FRMC-Maroc"
"16 September","Dome 2 Dome Cycling Spectacular","South Africa","1.2","Jaco Venter (RSA)","Team Neotel"
