"Round","Date","Score","Opponent","Opponent's Score","Result","Venue","Attendance","Best on ground","Team"
"1","Saturday, 2 April 2:10pm","14.20 (104)","Richmond","11.17 (83)","Won by 21 points","Kardinia Park (stadium)","20,781","Alex Ishchenko","West Coast"
"2","Friday, 8 April 7:40pm","26.19 (175)","Essendon","11.10 (76)","Won by 99 points","WACA Ground","24,886","John Gastev","West Coast"
"3","Sunday, 17 April 2:10pm","29.18 (192)","Brisbane Bears","10.14 (74)","Won by 118 points","WACA Ground","16,354","Chris Mainwaring","West Coast"
"4","Saturday, 23 April 2:10pm","8.7 (55)","Collingwood","13.16 (94)","Lost by 87 points","Victoria Park","26,276","James Manson","Collingwood"
"5","Friday, 29 April 7:40pm","14.16 (100)","Footscray","14.9 (93)","Won by 7 points","WACA Ground","17,662","Ross Glendinning","West Coast"
"6","Friday, 6 May 7:40pm","17.8 (110)","North Melbourne","17.23 (123)","Lost by 13 points","Melbourne Cricket Ground","10,133","Donald McDonald","North Melbourne"
"7","Friday, 13 May 7:40pm","17.10 (112)","St Kilda","3.18 (36)","Won by 76 points","WACA Ground","12,803","Alex Ishchenko","West Coast"
"8","Sunday, 22 May 2:10pm","9.9 (63)","Hawthorn","17.14 (116)","Lost by 53 points","Subiaco Oval","27,344","Chris Wittman","Hawthorn"
"9","Sunday, 29 May 2:10pm","12.15 (87)","Carlton","15.10 (100)","Lost by 13 points","Subiaco Oval","27,663","Ken Hunter","Carlton"
"10","Sunday, 5 June 2:10pm","10.15 (75)","Richmond","16.20 (116)","Lost by 41 points","Melbourne Cricket Ground","7,157","Peter Wilson","Richmond"
"11","Monday, 13 June 2:10pm","10.13 (73)","Melbourne","13.15 (93)","Lost by 20 points","Melbourne Cricket Ground","28,045","Alan Johnson","Melbourne"
"12","Sunday, 19 June 2:10pm","8.13 (61)","Sydney","14.20 (104)","Lost by 43 points","Sydney Cricket Ground","12,664","Michael Parsons","Sydney"
"13","Sunday, 26 June 2:10pm","17.19 (121)","Fitzroy","13.9 (87)","Won by 34 points","Subiaco Oval","15,028","Wally Matera","West Coast"
"14","Saturday, 2 July 2:10pm","13.7 (85)","Essendon","16.16 (112)","Lost by 27 points","Windy Hill","10,298","Simon Madden","Essendon"
"15","Sunday, 10 July 2:10pm","18.18 (126)","Geelong","16.10 (106)","Won by 20 points","Subiaco Oval","18,537","Chris Mainwaring","West Coast"
"16","Friday, 15 July 7:40pm","14.14 (98)","Brisbane Bears","12.17 (89)","Won by 9 points","WACA Ground","16,074","Mark Withers","Brisbane Bears"
"17","Friday, 22 July 7:40pm","8.16 (64)","Fitzroy","19.20 (134)","Lost by 70 points","Melbourne Cricket Ground","7,611","John Ironmonger","Fitzroy"
"18","Sunday, 31 July 2:10pm","18.14 (122)","Melbourne","11.12 (78)","Won by 44 points","Subiaco Oval","16,266","Murray Rance","West Coast"
"19","Sunday, 7 August 2:10pm","16.9 (115)","North Melbourne","12.12 (84)","Won by 31 points","Subiaco Oval","18,193","Guy McKenna","West Coast"
"20","Saturday, 13 August 2:10pm","14.13 (97)","St Kilda","13.10 (88)","Won by 9 points","Moorabbin Oval","11,074","Laurie Keene","West Coast"
"21","Sunday, 21 August 7:40pm","16.15 (111)","Collingwood","7.9 (51)","Won by 60 points","Subiaco Oval","36,638","Karl Langdon","West Coast"
"22","Sunday, 28 August 2:10pm","7.11 (53)","Footscray","3.11 (29)","Won by 24 points","Western Oval","18,456","Chris Mainwaring","West Coast"
"EF","Saturday, 3 September 2:10pm","10.11 (71)","Melbourne","11.7 (73)","Lost by 2 points","Waverley Park","43,438","–","–"
