"Rnd","Circuit","LMP1 Winning Team
LMP1 Winning Drivers","LMP2 Winning Team
LMP2 Winning Drivers","GT1 Winning Team
GT1 Winning Drivers","GT2 Winning Team
GT2 Winning Drivers","Results"
"1","Sebring","#2 Audi Sport North America","#37 Intersport Racing","#4 Corvette Racing","#50 Multimatic Motorsports","Results"
"1","Sebring","Rinaldo Capello
 Tom Kristensen
 Allan McNish","Clint Field
 Liz Halliday
 Jon Field","Oliver Gavin
 Olivier Beretta
 Jan Magnussen","Scott Maxwell
 David Brabham
 Sébastien Bourdais","Results"
"2","Reliant Park","#2 Audi Sport North America","#37 Intersport Racing","#4 Corvette Racing","#23 Alex Job Racing","Results"
"2","Reliant Park","Allan McNish
 Rinaldo Capello","Clint Field
 Liz Halliday","Oliver Gavin
 Olivier Beretta","Mike Rockenfeller
 Klaus Graf","Results"
"3","Mid-Ohio","#2 Audi Sport North America","#7 Penske Racing","#4 Corvette Racing","#45 Flying Lizard Motorsports","Results"
"3","Mid-Ohio","Allan McNish
 Rinaldo Capello","Timo Bernhard
 Romain Dumas","Oliver Gavin
 Olivier Beretta","Johannes van Overbeek
 Wolf Henzler","Results"
"4","Lime Rock","#2 Audi Sport North America","#7 Penske Racing","#009 Aston Martin Racing","#31 Petersen/White Lightning","Results"
"4","Lime Rock","Allan McNish
 Rinaldo Capello","Timo Bernhard
 Romain Dumas","Stéphane Sarrazin
 Pedro Lamy","Jörg Bergmeister
 Patrick Long","Results"
"5","Miller","#1 Audi Sport North America","#6 Penske Racing","#007 Aston Martin Racing","#62 Risi Competizione","Results"
"5","Miller","Frank Biela
 Emanuele Pirro","Sascha Maassen
 Lucas Luhr","Darren Turner
 Tomáš Enge","Jaime Melo
 Mika Salo","Results"
"6","Portland","#2 Audi Sport North America","#37 Intersport Racing","#4 Corvette Racing","#62 Risi Competizione","Results"
"6","Portland","Allan McNish
 Rinaldo Capello","Clint Field
 Liz Halliday","Oliver Gavin
 Olivier Beretta","Jaime Melo
 Mika Salo","Results"
"7","Road America","#1 Audi Sport North America","#6 Penske Racing","#3 Corvette Racing","#31 Petersen/White Lightning","Results"
"7","Road America","Frank Biela
 Emanuele Pirro","Sascha Maassen
 Timo Bernhard","Ron Fellows
 Johnny O'Connell","Jörg Bergmeister
 Patrick Long
 Michael Petersen","Results"
"8","Mosport","#2 Audi Sport North America","#7 Penske Racing","#009 Aston Martin Racing","#62 Risi Competizione","Results"
"8","Mosport","Allan McNish
 Rinaldo Capello","Lucas Luhr
 Romain Dumas","Stéphane Sarrazin
 Pedro Lamy","Stephane Ortelli
 Johnny Mowlem","Results"
"9","Road Atlanta","#2 Audi Sport North America","#6 Penske Racing","#007 Aston Martin Racing","#31 Petersen/White Lightning","Results"
"9","Road Atlanta","Allan McNish
 Rinaldo Capello","Sascha Maassen
 Timo Bernhard
 Emmanuel Collard","Tomáš Enge
 Darren Turner","Jörg Bergmeister
 Patrick Long
 Niclas Jönsson","Results"
"10","Mazda Raceway Laguna Seca","#2 Audi Sport North America","#7 Penske Racing","#009 Aston Martin Racing","#62 Risi Competizione","Results"
"10","Mazda Raceway Laguna Seca","Allan McNish
 Rinaldo Capello","Lucas Luhr
 Romain Dumas","Stéphane Sarrazin
 Pedro Lamy","Mika Salo
 Stephane Ortelli","Results"
