"Title","Artist","Year","Location/GPS Coordinates","Material","Dimensions","Owner"
"Victims of Communism Memorial","Tiananmen Square protesters of 1989, statue recreated by Thomas Marsh","June 12, 2007 (dedication)","Massachusetts and New Jersey Avenues and G Street, N.W.
38°53′55″N 77°00′43″W﻿ / ﻿38.898489°N 77.012053°W","Bronze","10 feet tall (3 m)","Victims of Communism Memorial Foundation"
"National Japanese American Memorial To Patriotism During World War II","Nina Akumu & Paul Matisse","2000","Louisiana Ave., New Jersey Ave. & D St., N.W.
38°53′40″N 77°00′38″W﻿ / ﻿38.894523°N 77.010488°W","Bronze & barbed wire","","National Park Service"
"George Gordon Meade Memorial","Charles Grafly","1927","Constitution Ave. & Pennsylvania Ave, N.W. 38°53′31.67″N 77°0′59.2″W﻿ / ﻿38.8921306°N 77.016444°W","","",""
"District Building Allegorical Roofline Figures","Adolfo Nesti","ca. 1907–1908","1350 E St., N.W. Washington","Marble","28 figures. Each figure: H. 8 ft.","John A. Wilson Building"
"American Legion Freedom Bell","Unknown","1975","Union Station 38°53′47.6″N 77°0′23.53″W﻿ / ﻿38.896556°N 77.0065361°W","Bronze & Concrete","8 tons","National Park Service"
"The Progress of Railroading","Louis Saint-Gaudens","","Union Station","","",""
"Senate Garage Fountain","","","N. Capital & D St., N.E.","Granite","",""
"John Philip Sousa","Terry Jones","2005","7th St. & Virginia Ave., S.E.","Bronze","",""
"Peace Monument","Franklin Simmons","1877","Peace Circle","Marble","Approx. 40 × 10 × 10 ft.","Architect of the Capitol"
"Ulysses S. Grant Memorial","Henry Shrady, Edmond Amateis & Sherry Edmundson Fry","1912–1920","Union Square at The National Mall 38°53′23.24″N 77°0′46.49″W﻿ / ﻿38.8897889°N 77.0129139°W","Bronze & Marble","Equestrian statue of Grant: approx. 17 ft. 2 in. × 8 ft. × 4 ft.; Base: approx. 22½ ft. × 6 ft. 4 ft.; Platform: approx. W. 252 ft. D. 71 ft. (10,700 lbs.).","United States Department of the Interior"
"John J. Pershing General of the Armies","Robert White","1983","Pershing Park","Bronze & Granite","Sculpture: approx. 108 × 28 × 28 in.; Base: approx. 51 × 53 × 53 in.; Wall facing rear of sculpture: approx. H. 10 ft. W. 3 ft. L. 31½ ft.; Wall facing left side of sculpture: approx. H. 10 ft. W. 3 ft. L. 49 ft.","United States Department of the Interior"
"Bulletin Building Reliefs","Charles Sullivan","1928","717 6th Street, N.W.","Stone","4 reliefs. Overall facade area: approx. 37 × 25 ft.","717 6th Street Associates"
"Grand Army of the Republic Memorial (Stephenson)","J. Massey Rhind","1909","Indiana Plaza","Bronze, Granite & Concrete","Shaft: approx. H. 25 ft.; Base: approx. H. 2 ft.","United States Department of the Interior"
"Friendship Archway","Alfred H. Liu","1985","Chinatown","Steel, Ceramic, Marble, Wood, Metal or Concrete, Gold Leaf & Granite","Overall: approx. H. 47 ft. 7 in. × W. 75 ft. (128 tons).","Office of Business and Economic Development"
"Government Printing Office Workers","Armin Scheler","1937","United States Government Printing Office","Cast stone","3 reliefs. Each relief: approx. 9 ft. × 5 ft. × 6 in.","General Services Administration"
"Titanic Memorial","Gertrude Vanderbilt Whitney & John Horrigan","1926","Waterfront Park, 4th & P St., S.W.","Granite & Concrete","Sculpture: approx. 12 × 8 × 2 ft.; Base: approx. 5½ × 4 × 4 ft.; Platform: approx. W. 50 ft. × D. 13 ft.","United States Department of the Interior"
"Literature, Science, Art","Bela Pratt","1895","Library of Congress","Granite","","Library of Congress"
"The Court of Neptune Fountain","Roland Hinton Perry","1897–1898","Library of Congress","Bronze & Granite","Basin: W. 50 ft.; Figures range from: H. 10 ft. to H. 12 ft.","Architect of the Capitol"
"Andrew W. Mellon Memorial Fountain","Sidney Waugh & Otto Eggers","1949–1951","Constitution Ave & 6th St. at Pennsylvania Ave, N.W. 38°53′32.59″N 77°1′9.9″W﻿ / ﻿38.8923861°N 77.019417°W","Bronze, Granite & Quartz","Fountain: approx. Diam: 38 ft.; Base: approx. 66 ft.","United States Department of the Interior"
"Robert A. Taft Memorial","Wheeler Williams","1958","United States Capitol
38°53′34″N 77°0′40″W﻿ / ﻿38.89278°N 77.01111°W","Bronze, Granite & Marble","Figure: approx. 12 × 3½ × 2 ft.; Base: approx. 5½ × 4½ × 3 ft.; Tower: approx. 100 × 32 × 11 ft.","Architect of the Capitol"
"Justice and History","Thomas Crawford","Original 1863
Replacement 1974","United States Capitol – Senate Wing","Marble","Overall: 3 ft. 10 in. × 11 ft. 2 in. × 2 ft. 2 in.","United States Capitol"
"Decorative Wreath Panels","Paul Manship","1959–1960","United States Capitol","Marble","","United States Capitol"
"Lyndon Baines Johnson Megalith","Harold Vogel","1975","Lady Bird Johnson Park","Granite","Approx. 19 × 7 × 7 ft.","United States Department of the Interior"
"Reverence","Deirdre Saunder","1991","701 Maryland Avenue, N.E.","Painted metal","Sculpture: approx. 7 ft. × 3 ft. 9 in. × 1/2 in.; Base: approx. 5½ in. × 2 ft. 10 in. × 1 ft. 3 in.","DC Art/Works"
"The Bex Eagle","Lorenzo Ghiglieri","1982","Pershing Park","Silicon Bronze & Granite","Sculpture: approx. 40½ × 50 × 33 in.; Base: approx. 4 ft. 11 in. × 2 ft. 8 in. × 2 ft. 8 in.","United States Department of the Interior"
"Social Security Relief Panels","Emma Lu Davis & Henry Kreis","1941","United States Department of Health and Human Services","Granite","3 Panels. Relief: approx. H. 7½ ft. W. 6½.","General Services Administration"
"Railroad Retirement","Robert Kittredge","1941","United States Department of Health and Human Services","Granite","Relief: approx. 9 ft. × 8 ft. × 6 in.","General Services Administration"
"Shorepoints I","James Rosati","1977","United States Department of Health and Human Services","Painted Aluminum","Approx. H. 9 ft. W. 20 ft.","General Services Administration"
"Railroad Employment","Robert Kittredge","1941","330 C. St, S.W., South Building","Red granite","Relief: approx. 9 ft. × 8 ft. × 6 in.","General Services Administration"
"Urban Life","John Gregory","1939–1942","Municipal Center, 300 Indiana Avenue, N.W., West Entrance","Granite","Relief: approx. 12 ft. × 11 ft. × 15 in.","Department of Administrative Services"
"Health and Welfare","Hildreth Meiere","1941","Municipal Center, 300 Indiana Avenue, N.W., West Entrance","Ceramic","Mural: approx. H. 8 ft. × W. 81 ft.","Department of Administrative Services"
"Democracy in Action","Waylande Gregory","1941","Municipal Center, 300 Indiana Avenue, N.W., West Courtyard","High-fire ceramic clay in terra cotta.","Relief: approx. H. 8 ft. × L. 81 ft.","Department of Administrative Services"
"Heating Plant Machinery","Paul Philippe Cret","1933","Central Heating & Refrigeration Plant, 13th St. between C & D St.","","5 reliefs. Four reliefs: approx. H. 1½ ft. W. 2 ft.; One relief: approx. H. 14 ft. W. 7 ft.","General Services Administration"
"Abstract","Wyten","1989","820 1st St., N.W.","Painted Metal","Sculpture: approx. 9 × 9 × 9 ft.","Unknown"
"The Maine Lobsterman","Victor Kahill","1981","Water St. & 6th St., S.W.
38°52′37″N 77°1′18″W﻿ / ﻿38.87694°N 77.02167°W","Bronze & Granite","Sculpture: approx. 5 × 2 × 3½ ft.; Boulder: approx. H. 4 ft.; Flat stone block base: approx. W. 4½ ft. D. 8 ft.","United States Department of the Interior"
"John Marshall: Chief Justice of the United States","William Wetmore Story","ca. 1920","C St. & 3rd St., N.W.
38°53′36″N 77°1′03″W﻿ / ﻿38.89333°N 77.01750°W","Bronze & Granite","Sculpture: approx. 6 ft. 10 in. × 4 ft. 10 in. × 7 ft. 10 in.; Base: 5 ft. 4 in.x 4 ft. 10 in. 7 ft.","General Services Administration"
"Torch of Learning","Edward Pearce Casey","1893","Library of Congress","Gilded Copper","Sculpture: approx. H. 15 ft. W. 4½ ft.; Base: approx. W. 6½ ft.","Architect of the Capitol"
"Ethnological Heads","William Boyd, Henry Jackson Ellicott & Otis Mason","1891","Library of Congress","Granite","33 keystone heads. Each: approx. H. 18 in. W. 12 in.","Architect of the Capitol"
