"Location","Region","Coordinates
(links to map & photo sources)","Population","Elevation"
"Abancay","Apurímac","13°38′02″S 72°52′53″W﻿ / ﻿13.63389°S 72.88139°W","55111","2690"
"Acarí","Arequipa","15°25′52″S 74°36′57″W﻿ / ﻿15.43111°S 74.61583°W","4445","410"
"Acolla","Junín","11°43′55″S 75°32′47″W﻿ / ﻿11.73193°S 75.54634°W","6805","3862"
"Aguas Verdes","Tumbes","3°28′53″S 80°14′42″W﻿ / ﻿3.48139°S 80.245°W","9106","15"
"Ambo","Huanuco","10°07′51″S 76°12′17″W﻿ / ﻿10.13083°S 76.20472°W","6865","2486"
"Andahuaylas","Apurímac","13°39′20″S 73°23′14″W﻿ / ﻿13.65556°S 73.38722°W","17444","3052"
"Anta","Cusco","13°28′14″S 72°08′54″W﻿ / ﻿13.47056°S 72.14833°W","5859","3447"
"Arequipa","Arequipa","16°23′56″S 71°32′06″W﻿ / ﻿16.39889°S 71.535°W","841130","2397"
"Ascope","La Libertad","7°42′52″S 79°06′28″W﻿ / ﻿7.71444°S 79.10778°W","14015","191"
"Atuncolla","Puno","15°41′00″S 70°09′00″W﻿ / ﻿15.68333°S 70.15°W","12654","3897"
"Ayabaca","Piura","4°38′23″S 79°42′54″W﻿ / ﻿4.63983°S 79.71491°W","5270","2317"
"Ayacucho","Ayacucho","13°09′30″S 74°13′26″W﻿ / ﻿13.15833°S 74.22389°W","140033","2819"
"Ayaviri","Puno","14°53′11″S 70°35′20″W﻿ / ﻿14.88639°S 70.58889°W","19310","3919"
"Ayna","Ayacucho","12°39′00″S 73°55′00″W﻿ / ﻿12.65°S 73.91667°W","4588","2425"
"Azángaro","Puno","14°55′00″S 70°13′00″W﻿ / ﻿14.91667°S 70.21667°W","13290","4020"
"Bagua Grande","Amazonas","5°45′22″S 78°26′28″W﻿ / ﻿5.75611°S 78.44111°W","20382","746"
"Bambamarca","Cajamarca","6°41′00″S 78°32′00″W﻿ / ﻿6.68333°S 78.53333°W","13351","2699"
"Barranca","Loreto","4°50′00″S 76°42′00″W﻿ / ﻿4.83333°S 76.7°W","5779","149"
"Barranca","Lima","10°45′00″S 77°46′00″W﻿ / ﻿10.75°S 77.76667°W","46290","64"
