#	Player	Country	Score	To par	Money ($)
1	Louise Suggs	United States	78-75-75-74=302	+14	900
2	Patty Berg	United States	79-77-73-74=303	+15	675
T3	Betsy Rawls	United States	79-75-72-80=306	+18	445
T3	Mickey Wright	United States	80-79-74-73=306	+18	445
5	Betty Jameson	United States	80-74-77-78=309	+21	405
T6	Mary Lena Faulk	United States	82-79-74-76=311	+23	338
T6	Beverly Hanson	United States	84-75-75-77=311	+23	338
T8	Fay Crocker	Uruguay	92-70-76-75=313	+25	248
T8	Marlene Hagge	United States	78-80-79-76=313	+25	248
T10	Vonnie Colby	United States	80-79-78-78=315	+27	113
T10	Joyce Ziske	United States	83-82-77-73=315	+27	113
