"Year","Date","Winner","Result","Loser","Attendance","Location"
"1980","Oct 19","Chicago Bears","24-7","Detroit Lions","","Chicago, Illinois"
"1980","Nov 27","Chicago Bears","23-17 (OT)","Detroit Lions","58,508","Pontiac, Michigan"
"1981","Oct 19","Detroit Lions","48-17","Chicago Bears","75,397","Pontiac, Michigan"
"1981","Nov 22","Detroit Lions","23-7","Chicago Bears","71,273","Chicago, Illinois"
"1982","Sept 12","Detroit Lions","17-10","Chicago Bears","50,082","Pontiac, Michigan"
"1982","Nov 21","Chicago Bears","20-17","Detroit Lions","46,783","Chicago, Illinois"
"1983","Oct 16","Detroit Lions","31–17","Chicago Bears","66,709","Pontiac, Michigan"
"1983","Oct 30","Detroit Lions","38-17","Chicago Bears","58,764","Chicago, Illinois"
"1984","Nov 18","Chicago Bears","16-14","Detroit Lions","54,911","Chicago, Illinois"
"1984","Dec 16","Chicago Bears","30-13","Detroit Lions","53,252","Pontiac, Michigan"
"1985","Nov 10","Chicago Bears","24-3","Detroit Lions","53,467","Chicago, Illinois"
"1985","Dec 22","Chicago Bears","37-17","Detroit Lions","74,042","Pontiac, Michigan"
"1986","Oct 26","Chicago Bears","13-7","Detroit Lions","62,064","Chicago, Illinois"
"1986","Dec 15","Chicago Bears","16-13","Detroit Lions","75,602","Pontiac, Michigan"
"1987","Nov 22","Chicago Bears","30-10","Detroit Lions","63,357","Chicago, Illinois"
"1988","Oct 9","Chicago Bears","24–7","Detroit Lions","64,526","Pontiac, Michigan"
"1988","Dec 11","Chicago Bears","13-12","Detroit Lions","55,010","Chicago, Illinois"
"1989","Sept 24","Chicago Bears","47-27","Detroit Lions","71,418","Pontiac, Michigan"
"1989","Dec 10","Detroit Lions","27-17","Chicago Bears","52,650","Chicago, Illinois"
