City	Country	IATA	ICAO	Airport	Commenced	Ended
Bandung	Indonesia	BDO	WICC	Husein Sastranegara International Airport	2013	present
Bangalore	India	BLR	VOBL	Bengaluru International Airport	2008[N]	present[N]
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport	2004	present
Cebu	Philippines	CEB	RPVM	Mactan-Cebu International Airport	2011	present
Chennai	India	MAA	VOMM	Chennai International Airport	2007	present
Chiang Mai	Thailand	CNX	VTCC	Chiang Mai International Airport	2005	2008
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport	2012	2013
Da Nang	Vietnam	DAD	VVDN	Da Nang International Airport	2006	2006
Darwin	Australia	DRW	YPDN	Darwin International Airport	2004	2008
Davao	Philippines	DVO	RPMD	Francisco Bangoy International Airport	2011	2012
Denpasar	Indonesia	DPS	WADD	Ngurah Rai International Airport	2013	present
Dhaka	Bangladesh	DAC	VGHS	Shahjalal International Airport	2012	present
Guangzhou	China	CAN	ZGGG	Guangzhou Baiyun International Airport	2006	present
Haikou	China	HAK	ZJHK	Haikou Meilan International Airport	2006	present
Hanoi	Vietnam	HAN	VVNB	Noi Bai International Airport	2005	present
Hat Yai	Thailand	HDY	VTSS	Hat Yai International Airport	2004[N]	present[N]
Ho Chi Minh City	Vietnam	SGN	VVTS	Tan Son Nhat International Airport	2005	present
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport	2010	present
Hyderabad	India	HYD	VOHS	Rajiv Gandhi International Airport	2012	present
Jakarta	Indonesia	CGK	WIII	Soekarno–Hatta International Airport	2009	present
Kochi	India	COK	VOCI	Cochin International Airport	2012	present
Krabi	Thailand	KBV	VTSG	Krabi Airport	2005[N]	present[N]
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport	2008	present
Kuching	Malaysia	KCH	WBGG	Kuching International Airport	2008	2013
Langkawi	Malaysia	LGK	WMKL	Langkawi International Airport	2009	2010
Lijang	China	LJG	ZPLJ	Lijiang Sanyi Airport	2013	present
Lombok	Indonesia	LOP	WADL	Lombok International Airport	2013	present
Macau	Macau	MFM	VMMC	Macau International Airport	2005	present
Male	Maldives	MLE	VRMM	Ibrahim Nasir International Airport	2014	present
Manila	Philippines	MNL	RPLL	Ninoy Aquino International Airport	2010	present
Ningbo	China	NGB	ZSNB	Ningbo Lishe International Airport	2013	present
Penang	Malaysia	PEN	WMKP	Penang International Airport	2009	present
Perth	Australia	PER	YPPH	Perth Airport	2004	present
Phnom Penh	Cambodia	PNH	VDPP	Phnom Penh International Airport	2012	present
Phuket	Thailand	HKT	VTSP	Phuket International Airport	2004	present
Shenzhen	China	SZX	ZGSZ	Shenzhen Bao'an International Airport	2006	present
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport[Hub]	2004	present
Surabaya	Indonesia	SUB	WARR	Juanda International Airport	2013	present
Taipei	Taiwan	TPE	RCTP	Taiwan Taoyuan International Airport	2011	present
Thiruvananthapuram	India	TRV	VOTV	Trivandrum International Airport	2010	present
Tiruchirapalli	India	TRZ	VOTR	Tiruchirapalli Airport	2010	present
Udon Thani	Thailand	UTH	VTUD	Udon Thani International Airport	2007	2007
Xiamen	China	ZMN	ZSAM	Xiamen Gaoqi International Airport	2007	2009
Yangon	Myanmar	RGN	VYYY	Yangon International Airport	2013	present
Yogyakarta	Indonesia	JOG	WARJ	Adisucipto International Airport	2013	present
