Name	Location	Date established	Area	Description
Acadia	Maine\n44°21′N 68°13′W﻿ / ﻿44.35°N 68.21°W	February 26, 1919	47,389.67 acres (191.8 km2)	Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.
American Samoa	American Samoa\n14°15′S 170°41′W﻿ / ﻿14.25°S 170.68°W	October 31, 1988	9,000.00 acres (36.4 km2)	The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.
Arches	Utah\n38°41′N 109°34′W﻿ / ﻿38.68°N 109.57°W	November 12, 1971	76,518.98 acres (309.7 km2)	This site features more than 2,000 natural sandstone arches, including the Delicate Arch. In a desert climate millions of years of erosion have led to these structures, and the arid ground has life-sustaining soil crust and potholes, natural water-collecting basins. Other geologic formations are stone columns, spires, fins, and towers.
Badlands	South Dakota\n43°45′N 102°30′W﻿ / ﻿43.75°N 102.50°W	November 10, 1978	242,755.94 acres (982.4 km2)	The Badlands are a collection of buttes, pinnacles, spires, and grass prairies. It has the world's richest fossil beds from the Oligocene epoch, and there is wildlife including bison, bighorn sheep, black-footed ferrets, and swift foxes.
Big Bend	Texas\n29°15′N 103°15′W﻿ / ﻿29.25°N 103.25°W	June 12, 1944	801,163.21 acres (3,242.2 km2)	Named for the Bend of the Rio Grande along the US–Mexico border, this park includes a part of the Chihuahuan Desert. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans exist within its borders.
Biscayne	Florida\n25°39′N 80°05′W﻿ / ﻿25.65°N 80.08°W	June 28, 1980	172,924.07 acres (699.8 km2)	Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian Manatee, American crocodile, various sea turtles, and peregrine falcon.
Black Canyon of the Gunnison	Colorado\n38°34′N 107°43′W﻿ / ﻿38.57°N 107.72°W	October 21, 1999	32,950.03 acres (133.3 km2)	The park protects a quarter of the Gunnison River, which has dark canyon walls from the Precambrian era. The canyon has very steep descents, and it is a site for river rafting and rock climbing. The narrow, steep canyon, made of gneiss and schist, is often in shadow, appearing black.
Bryce Canyon	Utah\n37°34′N 112°11′W﻿ / ﻿37.57°N 112.18°W	February 25, 1928	35,835.08 acres (145.0 km2)	Bryce Canyon is a giant natural amphitheatre along the Paunsaugunt Plateau. The unique area has hundreds of tall sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.
Canyonlands	Utah\n38°12′N 109°56′W﻿ / ﻿38.2°N 109.93°W	September 12, 1964	337,597.83 acres (1,366.2 km2)	This landscape was eroded into canyons, buttes, and mesas by the Colorado River, Green River, and their tributaries, which divide the park into three districts. There are rock pinnacles and other naturally sculpted rock, as well as artifacts from Ancient Pueblo Peoples.
Capitol Reef	Utah\n38°12′N 111°10′W﻿ / ﻿38.20°N 111.17°W	December 18, 1971	241,904.26 acres (979.0 km2)	The park's Waterpocket Fold is a 100-mile (160 km) monocline that shows the Earth's geologic layers. Other natural features are monoliths and sandstone domes and cliffs shaped like the United States Capitol.
