| Responsible Minister(s)                          | Crown Entities                                            | Monitoring Department(s)                            | Category / Type | Empowering Legislation                                                            |
| ACC                                              | Accident Compensation Corporation                         | Labour                                              | Crown agent     | Injury Prevention, Rehabilitation, and Compensation Act 2001 (Part 7/Sched 5)     |
| Arts, Culture and Heritage                       | Arts Council of New Zealand Toi Aotearoa                  | Culture and Heritage                                | ACE             | Arts Council of New Zealand Toi Aotearoa Act 1994 (Part 1)                        |
| Arts, Culture and Heritage                       | Museum of New Zealand Te Papa Tongarewa Board             | Culture and Heritage                                | ACE             | Museum of New Zealand Te Papa Tongarewa Act 1992 (Part 1 and Schedule 1)          |
| Arts, Culture and Heritage                       | New Zealand Film Commission                               | Culture and Heritage                                | ACE             | New Zealand Film Commission Act 1978                                              |
| Arts, Culture and Heritage                       | New Zealand Historic Places Trust (Pouhere Taonga)        | Culture and Heritage                                | ACE             | Historic Places Act 1993 (Part 3)                                                 |
| Arts, Culture and Heritage                       | New Zealand Symphony Orchestra                            | Culture and Heritage                                | ACE             | New Zealand Symphony Orchestra Act 2004 (Part 2 and Schedule 1)                   |
| Broadcasting                                     | Broadcasting Commission (New Zealand On Air)              | Culture and Heritage                                | ACE             | Broadcasting Act 1989 (Part 4 and Schedule 1)                                     |
| Broadcasting                                     | Broadcasting Standards Authority                          | Culture and Heritage                                | ICE             | Broadcasting Act 1989 (Part 3 and Schedule 1)                                     |
| Broadcasting and Finance (2)                     | Radio New Zealand Limited                                 | CCMAU / Culture and Heritage and Treasury           | CEC             | Radio New Zealand Act 1995                                                        |
| Broadcasting and Finance (2)                     | Television New Zealand Limited                            | CCMAU / Culture and Heritage and Treasury           | CEC             | Television New Zealand Act 2003                                                   |
| Commerce                                         | Accounting Standards Review Board                         | Economic Development                                | ICE             | Financial Reporting Act 1993 (Part 3 and Schedule 1)                              |
| Commerce                                         | Commerce Commission                                       | Economic Development                                | ICE             | Commerce Act 1986 (Part 1)                                                        |
| Commerce                                         | Securities Commission                                     | Economic Development                                | ICE             | Securities Act 1978 (Part 1)                                                      |
| Commerce                                         | Standards Council                                         | Economic Development                                | ACE             | Standards Act 1988                                                                |
| Commerce                                         | Takeovers Panel                                           | Economic Development                                | ICE             | Takeovers Act 1993 (Part 1 and Schedule)                                          |
| Commerce                                         | Testing Laboratory Registration Council                   | Economic Development                                | ACE             | Testing Laboratory Registration Act 1972                                          |
| Community and Voluntary Sector                   | Charities Commission                                      | Internal Affairs                                    | ACE             | Charities Act 2005 (Part 1)                                                       |
| CRIs and Finance (2)                             | Crown research institutes (9)                             | CCMAU and Treasury                                  | CEC             | Crown Research Institutes Act 1992                                                |
| Economic Development and Finance (2)             | New Zealand Venture Investment Fund Limited               | CCMAU and Treasury                                  | CEC             | None (company constitution)                                                       |
| Education                                        | Careers New Zealand                                       | Education                                           | Crown agent     | Education Act 1989 (Part 22)                                                      |
| Education                                        | New Zealand Qualifications Authority                      | Education                                           | Crown agent     | Education Act 1989 (Part 20)                                                      |
| Education                                        | New Zealand Teachers Council                              | Education                                           | ACE             | Education Act 1989 (Part 10A)                                                     |
| Education                                        | School boards of trustees (2,474)                         | Education                                           | School BoTs     | Education Act 1989 (Parts 7, 7A, 8, 9 and 12 and Schedules 5A and 6)              |
| Energy                                           | Electricity Authority                                     | Economic Development                                | Crown agent     | Electricity Act 1992 (Part 15)                                                    |
| Energy                                           | Energy Efficiency and Conservation Authority              | Environment                                         | Crown agent     | Energy Efficiency and Conservation Act 2000 (and Schedule)                        |
| Environment                                      | Environmental Risk Management Authority                   | Environment                                         | ACE             | Hazardous Substances and New Organisms Act 1996 (Part 4 and Schedule 1)           |
