"Week","Date","Opponent","Result","Record","Attendance"
"1","September 11, 2005","Indianapolis Colts","L 24–7","0–1–0","70,501"
"2","September 18, 2005","at Tennessee Titans","L 25–10","0–2–0","69,149"
"3","Bye","Bye","Bye","Bye","Bye"
"4","October 2, 2005","New York Jets","W 13–3","1–2–0","70,479"
"5","October 9, 2005","at Detroit Lions","L 35–17","1–3–0","61,201"
"6","October 16, 2005","Cleveland Browns","W 16–3","2–3–0","70,196"
"7","October 23, 2005","at Chicago Bears","L 10–6","2–4–0","62,102"
"8","October 31, 2005","at Pittsburgh Steelers","L 20–19","2–5–0","64,178"
"9","November 6, 2005","Cincinnati Bengals","L 21–9","2–6–0","70,540"
"10","November 13, 2005","at Jacksonville Jaguars","L 30–3","2–7–0","66,107"
"11","November 20, 2005","Pittsburgh Steelers","W 16–13 OT","3–7–0","70,601"
"12","November 27, 2005","at Cincinnati Bengals","L 42–29","3–8–0","65,680"
"13","December 4, 2005","Houston Texans","W 16–15","4–8–0","69,909"
"14","December 11, 2005","at Denver Broncos","L 12–10","4–9–0","75,651"
"15","December 19, 2005","Green Bay Packers","W 48–3","5–9–0","70,604"
"16","December 25, 2005","Minnesota Vikings","W 30–23","6–9–0","70,246"
"17","January 1, 2006","at Cleveland Browns","L 20–16","6–10–0","69,871"
