"Episode","Original Broadcast Date","Average","Rank","Remarks"
"1","8 April 2012","1.00","5","This includes bloopers."
"2","15 April 2012","0.91","5",""
"3","22 April 2012","0.92","5",""
"4","29 April 2012","0.76","3",""
"5","6 May 2012","0.67","3",""
"6","13 May 2012","0.67","3",""
"7","20 May 2012","0.64","3",""
"8","27 May 2012","0.70","2",""
"9","3 June 2012","0.58","4",""
"10","10 June 2012","0.60","3",""
"11","17 June 2012","0.81","2",""
"12","24 June 2012","0.66","3",""
"13","1 July 2012","0.86","3",""
"Average","Average","0.75","-",""
