Name	Armenian	Location	# of prisoners designed for	Notes
Nubarashen	«Նուբարաշեն»	Nubarashen, Yerevan	840	
Kosh	«Կոշ»	Kosh, Aragatsotn	640	
Sevan	«Սևան»	Hrazdan, Kotayk	548	
Prison Hospital	«Դատապարտյալների հիվանդանոց»	Kentron, Yerevan	464	
Erebuni	«Էրեբունի»	Nubarashen, Yerevan	391	
Artik	«Արթիկ»	Harich, Shirak	373	
Abovyan	«Աբովյան»	Abovyan, Kotayk	250	For women and minors
Vanadzor	«Վանաձոր»	Vanadzor, Lori	245	
Goris	«Գորիս»	Goris, Syunik	215	
Hrazdan	«Հրազդան»	Hrazdan, Kotayk	215	
Vardashen	«Վարդաշեն»	Nubarashen, Yerevan	150	For former policemen and military officers
Yerevan-Center	«Երևան-Կենտրոն»	Kentron, Yerevan	60	
TOTAL	TOTAL	TOTAL	4,391	
