Position	Player	Transferred From	Date
GK	Fajar Sarib	Geylang United	1 January 2010
GK	Hafez Mawasi	Balestier Khalsa	1 January 2010
DF	Winston Yap	Sengkang Punggol	1 January 2010
DF	Kazuki Yoshino	Albirex Niigata (S)	1 January 2010
DF	Sahairi Ramri	Balestier Khalsa	1 January 2010
MF	Syed Karim	SAFFC	1 January 2010
MF	Mohd Noor Ali	Geylang United	1 January 2010
MF	Guntur Djafril	SAFFC	1 January 2010
MF	Sazali Salleh	Sengkang Punggol	1 January 2010
FW	Laakkad Abdelhadi	Free Transfer	1 January 2010
FW	Rizawan Abdullah	Balestier Khalsa	1 January 2010
MF	Rachid Lajane	Raja Al Hoceima	26 February 2010
