Position	Driver	No.	Car	Entrant	Lak.	Ora.	San.	Phi.	Total
1	John Briggs	9	Honda Prelude Chevrolet	John Briggs	42	42	42	42	168
2	Kerry Baily	18	Toyota Supra Chevrolet	Kerry Baily	38	38	36	38	150
3	James Phillip	55	Honda Prelude Chevrolet	James Phillip	26	28	28	30	112
4	Mick Monterosso	2	Ford Escort RS2000	Mick Monterosso	-	34	36	34	104
5	Bob Jolly	3	Holden VS Commodore	Bob Jolly	-	28	16	32	76
6	Danny Osborne		Mazda RX-7		26	10	30	-	66'
7	Mike Imrie	4	Saab	Imrie Motor Sport	23	11	-	28	62
8	Mark Trenoweth		Jaguar		33	24	-	-	57
9	Ivan Mikac	42	Mazda RX-7	Ivan Mikac	-	-	25	26	51
10	Des Wall		Toyota Supra		15	32	-	-	47
11	Kevin Clark	116	Ford Mustang GT	Kevin Clark	-	-	23	23	46
12	Peter O'Brien	17	Holden VL Commodore	O'Brien Aluminium	-	11	29	-	40
13	Chris Fing		Chevrolet Monza		29	-	-	-	29
14	Brian Smith		Alfa Romeo GTV Chevrolet		-	28	-	-	28
15	Gary Rowe	47	Nissan Stanza	Gary Rowe	-	-	21	-	21
	Domenic Beninca				-	-	-	21	21
17	Phil Crompton	49	Ford EA Falcon	Phil Crompton	17	-	-	-	17
18	Allan McCarthy		Alfa Romeo Alfetta		14	-	-	-	14
19	Chris Donnelly				12	-	-	-	12
	Paul Barrett				-	-	-	12	12
21	Brett Francis				11	-	-	-	11
22	Shane Eklund				10	-	-	-	10
	Craig Wildridge				-	10	-	-	10
	Ron O'Brien				-	-	-	10	10
