"Type","Stage","Cyclist","Team","Reason"
"DNF","2","Rémi Pauriol","Cofidis","Broken collarbone"
"DNS","3","José Ángel Gómez Marchante","Cervélo TestTeam","Broken arm sustained from crash in Stage 2"
"DNS","3","Daniel Martin","Garmin-Slipstream","Illness"
"DNS","3","Joost Posthuma","Rabobank","Illness"
"DNF","3","Matteo Bono","Lampre-NGC",""
"DNF","3","Anthony Charteau","Caisse d'Epargne",""
"DNS","4","Sylvain Calzati","Agritubel",""
"DNS","4","Bradley Wiggins","Garmin-Slipstream","Death in the family"
"DNF","4","Jussi Veikkanen","Française des Jeux",""
"DNS","5","Íñigo Cuesta","Cervélo TestTeam",""
"DNS","5","Enrico Franzoi","Liquigas",""
"DNF","5","Steven Cozza","Garmin-Slipstream",""
"DNF","5","Philippe Gilbert","Silence-Lotto",""
"DNF","5","Brian Vandborg","Liquigas",""
"DNS","6","Jelle Vanendert","Silence-Lotto",""
"DNF","6","Jose Luis Arrieta","Ag2r-La Mondiale",""
"DNF","6","Sébastien Chavanel","Française des Jeux",""
"DNF","6","Simon Spilak","Lampre-NGC",""
"DNF","6","Thomas Voeckler","Bbox Bouygues Telecom","Shoulder injury sustained from crash"
"DNS","7","Sebastian Langeveld","Rabobank",""
"DNF","7","Samuel Sánchez","Euskaltel-Euskadi",""
"DNF","7","Mickael Cherel","Française des Jeux",""
"DNF","7","Thomas Fothen","Team Milram",""
"DNF","7","Marcel Sieberg","Team Columbia-High Road",""
"DNF","7","Tom Veelers","Skil-Shimano",""
"DNF","7","Mickael Buffaz","Cofidis",""
"DNF","7","Javier Aramendia","Euskaltel-Euskadi",""
"DNF","7","Romain Feillu","Agritubel",""
