Outcome	Date	Tournament	Surface	Partnering	Opponent in the final	Score in the final
Winner	29 Apr 2002	$10,000 Bournemouth, Great Britain	Clay	Anna Hawkins	İpek Şenoğlu\n Christina Zachariadou	6–0, 6–0
Runner-up	14 May 2002	$10,000 Hatfield, Great Britain	Clay	Anna Hawkins	Irina Bulykina\n Ekaterina Sysoeva	6–4, 4–6, 6–7(8–10)
Runner-up	25 Nov 2002	$25,000 Mount Gambier, Australia	Hard	Chanelle Scheepers	Daniella Dominikovic\n Evie Dominikovic	w/o
Winner	12 Oct 2004	$25,000 Sunderland, Great Britain	Hard	Elena Baltacha	Eva Fislová\n Stanislava Hrozenská	6–1, 4–6, 6–2
Winner	18 Jan 2005	$10,000 Tipton, Great Britain	Hard	Surina De Beer	Katie O'Brien\n Melanie South	6–2, 6–4
Runner-up	10 Jul 2006	$25,000 Felixstowe, Great Britain	Grass	Sarah Borwell	Trudi Musgrave\n Christina Wheeler	2–6, 4–6
Winner	17 Jul 2006	$10,000 Frinton, Great Britain	Grass	Georgie Stoop	Danielle Brown\n Ana Četnik	6–4, 4–6, 6–2
Runner-up	7 Aug 2006	$10,000 Wrexham, Great Britain	Hard	Karen Paterson	Lindsay Cox\n Anna Hawkins	3–6, 3–6
Winner	22 Aug 2006	$10,000 Cumberland (London),\nGreat Britain	Hard	Karen Paterson	Laura Peterzen\n Emily Webley-Smith	6–3, 6–3
Runner-up	28 Aug 2006	$10,000 Mollerusa, Spain	Hard	Karen Paterson	Michaela Johansson\n Nadja Roma	3–6, 6–2, 3–6
Winner	14 Mar 2007	$10,000 Sunderland, Great Britain	Hard	Anna Hawkins	Ria Doernemann\n Emily Webley-Smith	6–4, 6–7(5–7), 6–3
