"Rank","Wrestler","No. of reigns","Combined
defenses","Combined
days"
"1","Matt Jackson†","3","25","1386+"
"1","Nick Jackson†","3","25","1386+"
"3","El Generico","5","12","637"
"4","Super Dragon","6","3","609"
"5","Scott Lost","5","14","578"
"6","Chris Bosh","3","11","433"
"7","Paul London","1","5","335"
"8","Davey Richards","3","1","324"
"9","Kevin Steen","3","4","315"
"10","Player Uno","1","2","232"
"10","Stupefied","1","2","232"
"12","Joey Ryan","3","3","165"
"13","Roderick Strong","3","1","121"
"14","Quicksilver","3","2","120"
"15","B-Boy","3","1","84"
"16","Pac","1","1","71"
"17","Excalibur","1","1","63"
"18","Human Tornado","1","1","56"
"18","Jimmy Jacobs","1","0","56"
"18","Tyler Black","1","0","56"
"21","Jack Evans","1","0","49"
"22","Homicide","1","0","28"
"23","Scorpio Sky","1","0","1"
"24","Brian Cage","1","0","<1"
"24","Michael Elgin","1","0","<1"
