"Team","Constructor","Motorcycle","Tyres","No","Rider","Rounds"
"Camel Yamaha Team","Yamaha","Yamaha YZR-M1","M","5","Colin Edwards","All"
"Camel Yamaha Team","Yamaha","Yamaha YZR-M1","M","46","Valentino Rossi","All"
"Konica Minolta Honda","Honda","Honda RC211V","M","6","Makoto Tamada","All"
"Tech 3 Yamaha","Yamaha","Yamaha YZR-M1","D","7","Carlos Checa","All"
"Tech 3 Yamaha","Yamaha","Yamaha YZR-M1","D","77","James Ellison","All"
"Team Roberts","Team Roberts","KR211V","M","10","Kenny Roberts, Jr.","All"
"Ducati Marlboro Team","Ducati","Ducati Desmosedici GP6","B","15","Sete Gibernau","1–7, 10–11, 13–16"
"Ducati Marlboro Team","Ducati","Ducati Desmosedici GP6","B","65","Loris Capirossi","All"
"Ducati Marlboro Team","Ducati","Ducati Desmosedici GP6","B","66","Alex Hofmann","8–9, 12"
"Ducati Marlboro Team","Ducati","Ducati Desmosedici GP6","B","12","Troy Bayliss","17"
"Kawasaki Racing Team","Kawasaki","Kawasaki Ninja ZX-RR","B","17","Randy de Puniet","All"
"Kawasaki Racing Team","Kawasaki","Kawasaki Ninja ZX-RR","B","56","Shinya Nakano","All"
"Kawasaki Racing Team","Kawasaki","Kawasaki Ninja ZX-RR","B","8","Naoki Matsudo","15"
"Rizla Suzuki MotoGP","Suzuki","Suzuki GSV-R","B","21","John Hopkins","All"
"Rizla Suzuki MotoGP","Suzuki","Suzuki GSV-R","B","71","Chris Vermeulen","All"
"Rizla Suzuki MotoGP","Suzuki","Suzuki GSV-R","B","64","Kousuke Akiyoshi","15"
"Repsol Honda Team","Honda","Honda RC211V","M","26","Dani Pedrosa","All"
"Repsol Honda Team","Honda","Honda RC211V","M","69","Nicky Hayden","All"
"Honda LCR","Honda","Honda RC211V","M","27","Casey Stoner","All"
"Pramac d'Antin MotoGP","Ducati","Ducati Desmosedici GP5","D","30","José Luis Cardoso","All"
"Pramac d'Antin MotoGP","Ducati","Ducati Desmosedici GP5","D","66","Alex Hofmann","1–7, 10–11, 13–17"
"Pramac d'Antin MotoGP","Ducati","Ducati Desmosedici GP5","D","22","Iván Silva","8–9, 12"
"Fortuna Honda","Honda","Honda RC211V","M","24","Toni Elías","1–8, 10–17"
"Fortuna Honda","Honda","Honda RC211V","M","33","Marco Melandri","All"
"Fortuna Honda","Honda","Honda RC211V","M","84","Michel Fabrizio","9"
"Ilmor SRT","Ilmor","Ilmor X3","M","8","Garry McCoy","16–17"
