Airline	Destination(s)	Aircraft Scheduled	Service Date(s)	Comments
Air Florida	New York JFK, Tampa, Washington National	Boeing 737-200, DC-9-10	JFK: 6/14/79-9/5/79, DCA: 10/26/79-9/30/1982, TPA: 02/1980-9/30/1982	
AirTran Airways	Atlanta, Dayton, Orlando	Boeing 737-200, DC-9-30, Boeing 717-200	11/14/1996-2/28/1998, 10/3/2000-4/29/2002	
Air Wisconsin	Akron-Canton, Chicago O'Hare, Cleveland, Columbus, Flint, Fort Wayne, Kalamazoo, Pittsburgh, South Bend	BAe 146, BAe ATP, Dash 8-300, Dash 7, Metro III	?-02/03/1993	Original and operating as United Express.
Allegiant Air*	Las Vegas	MD-80	12/15/2005-4/24/2006	
America West Express	Columbus, Flint	Beech 1900		Operated by Mesa dba Superior Airlines
American Eagle Airlines*	Dallas/Fort Worth	ERJ-145		Operated by Simmons Airlines (now American Eagle Airlines) and Chautauqua Airlines (dba AmericanConnection until name change to American Eagle)
Atlantic Coast Airlines	Cincinnati	Dornier 328JET		dba Delta Connection
Atlantic Southeast Airlines	Atlanta, Cincinnati	ATR 72, CRJ-200, CRJ-700		dba Delta Connection
Beaver Aviation / BAS Airlines	Beaver Falls (PA), Detroit City, Youngstown	Piper Navajo	Early 1980s	
Capital Airlines	Akron, Chicago, Cleveland, Detroit, Flint, Grand Rapids, Lansing, Muskegon, Pittsburgh, Philadelphia	Viscount, DC-3, DC-4	1/8/1948-05-31-1961	* Merged with United. * At the time, 14 flights at startup was the most ever for a new city.
Chicago Express Airlines	Chicago Midway, South Bend	Jetstream 31, Saab 340	1993-1995, 6/28/2002-1/4/2005	Original and returned as ATA Connection
Chicago and Southern Airlines	Deroit, Fort Wayne			Merged with Delta
Comair	Atlanta, Cincinnati, Columbus, Indianapolis	Piper Chieftain, Piper Navajo, EMB-110, Saab 340, EMB-120, Metro III, CRJ-100, CRJ-200, CRJ-700	1979, 01/03/1981-?	Original and as Delta Connection
Continental Express	Cleveland	EMB-120, Beech 1900, Dash-8-200		
Delta Air Lines	Atlanta, Cincinnati, Dayton, Detroit, Fort Wayne	Convair 440, Boeing 727-200, Boeing 737-300, MD-88, DC-9-30		
Eastern Airlines	Columbus	Constellation L-1049G, Locheed Electra, Boeing 727-100, Boeing 727-200, DC-9-30, DC-9-50		
Frontier Airlines mk 1	Denver, Detroit	Boeing 737-200, MD-80		
Liberty Airlines	Chicago Midway & O'Hare	Convair 440	02/1982-5/16/1983	Plans for CMH, CLE, STL, BUF, & EWR scrapped. Also flew CAK-ORD
Midway Connection	Chicago Midway	EMB-120, Dornier 228		
Mesaba Aviation	Detroit, Youngstown	Dash 8-200, Fokker 27, Metro III, Saab 340		Original and dba Northwest Airlink
Piedmont Airlines	Dayton	Boeing 727-200, Boeing 737-200		Merged with USAir
TransMeridian Airlines	Las Vegas, Sanford/Orlando	Boeing 757-200, Boeing 727-200, MD-80		Filed for Bankruptcy
Trans Midwest Airlines	Columbus, Dayton, Detroit Metro, Lima	Piper Navajo	1983-1985	
Trans World Airlines	St. Louis	Boeing 727-100, DC-9, Martin 404		
United Airlines	Chicago O'Hare, Cleveland, Denver, Fort Wayne, Peoria, Saginaw	DC-8 series 21, Boeing 727-122, 727-222, Boeing 737-222,Caravelle, Boeing 720, Convair 340, DC-6B		
US Airways (USAir/Allegheny)	Pittsburgh	Convair 580, Boeing 727-200, MD-80, Boeing 737-200/300/400, DC-9-30, BAe 1-11, Fokker 100, Fokker 28		
US Airways Express	Dayton, Indianapolis, Pittsburgh	Metro III, Jetstream 31, Saab 340, Dash 8-100/200, ERJ 145, Dornier 328		Operated by Trans States Airlines, Jetstream Int'l / PSA Airlines, Allegheny Airlines, Chautauqua Airlines, Shuttle America
Vision Airlines	Myrtle Beach	Boeing 737-400	6/1 - 6/29/2012	
