#	Date	Opponent	Score	Result	Competition
1	1988	Indonesia	4-0	Won	1988 AFC U-17 Championship Group Stages
2	1988	South Korea	6-1	Won	1988 AFC U-17 Championship Group Stages
3	1988	South Korea	6-1	Won	1988 AFC U-17 Championship Group Stages
4	1988	South Korea	6-1	Won	1988 AFC U-17 Championship Group Stages
5	1988	South Korea	6-1	Won	1988 AFC U-17 Championship Group Stages
6	1988	Iraq	2-1	Won	1988 AFC U-17 Championship Semifinals
7	1988	Bahrain	2-0	Won	1988 AFC U-17 Championship Final
8	1988	Bahrain	2-0	Won	1988 AFC U-17 Championship Final
9	June 12, 1989	Guinea	2-2	Draw	1989 FIFA U-16 World Championship Group Stages
10	June 12, 1989	Colombia	1-0	Won	1989 FIFA U-16 World Championship Group Stages
11	June 12, 1989	Bahrain	1-0	Won	1989 FIFA U-16 World Championship Semifinals
12	February 22, 1989	Portugal	3-0	Won	1989 FIFA World Youth Championship Group Stages
13	1989	Kuwait	1-0	Won	1989 Palestine Cup of Nations for Youth Group Stages
14	1989	Bahrain	1-1(4-3)	Lost	1989 Palestine Cup of Nations for Youth Third Place
