"Sl No","Constituency
Name","Constituency
Number","Member of Legislative Assembly","Political Party"
"1","Abhayapuri North","34","Bhupen Ray","Asom Gana Parishad"
"2","Abhayapuri South","35","Chandan Kumar Sarkar","Indian National Congress"
"3","Algapur","8","Mandira Roy","Indian National Congress"
"4","Amguri","103","Anjan Dutta","Indian National Congress"
"5","Badarpur","5","Jamal Uddin Ahmed","Indian National Congress"
"6","Baghbor","45","Sherman Ali Ahmed","All India United Democratic Front"
"7","Baithalangso","20","Mansing Rongpi","Indian National Congress"
"8","Barama","62","Maneswar Brahma","Bodoland People's Front"
"9","Barhampur","87","Prafulla Kumar Mahanta","Asom Gana Parishad"
"10","Barkhetri","60","Bhumidhar Barman","Indian National Congress"
"11","Barkhola","14","Rumi Nath","Indian National Congress"
"12","Barpeta","43","Abdur Rahim Khan","All India United Democratic Front"
"13","Batadraba","84","Gautam Bora","Indian National Congress"
"14","Bhabanipur","41","Abul Kalam Azad","All India United Democratic Front"
"15","Bihali","77","Pallab Lochan Das","Indian National Congress"
"16","Bihpuria","109","Bhupen Kumar Bora","Indian National Congress"
"17","Bijni","33","Kamalshing Narzary","Bodoland Peoples Front"
"18","Bilasipara East","27","Gul Akhtara Begum","All India United Democratic Front"
"19","Bilasipara West","26","Hafiz Bashir Ahmed","All India United Democratic Front"
"20","Biswanath","76","Prabin Hazarika","Asom Gana Parishad"
"21","Bokajan","17","Klengdoon Engti","Indian National Congress"
"22","Bokakhat","93","Arun Phukan","Indian National Congress"
"23","Boko","48","Gopi Nath Das","All India United Democratic Front"
"24","Bongaigaon","32","Phani Bhusan Choudhury","Asom Gana Parishad"
"25","Borchalla","72","Tanka Bahadur Rai","Indian National Congress"
"26","Chabua","121","Raju Sahunn","Indian National Congress"
"27","Chapaguri","63","Hitesh Basumatary","Bodoland Peoples Front"
"28","Chaygaon","49","Rekibuddin Ahmed","Indian National Congress"
"29","Chenga","47","Sukur Ali Ahmed","Indian National Congress"
"30","Dalgaon","68","Ilias Ali","Indian National Congress"
"31","Dergaon","97","Aroti Hazarika Kachari","Indian National Congress"
"32","Dhakuakhana","112","Naba Kumar Doley","Asom Gana Parishad"
