"Pos","No","Driver","Constructor","Laps","Time/Retired","Grid","Points"
"1","11","Jackie Stewart","Tyrrell-Ford","80","1:52:21.3","1","9"
"2","17","Ronnie Peterson","March-Ford","80","+ 25.6","6","6"
"3","4","Jacky Ickx","Ferrari","80","+ 53.3","2","4"
"4","9","Denny Hulme","McLaren-Ford","80","+ 1:06.7","8","3"
"5","1","Emerson Fittipaldi","Lotus-Ford","79","+ 1 Lap","17","2"
"6","24","Rolf Stommelen","Surtees-Ford","79","+ 1 Lap","16","1"
"7","22","John Surtees","Surtees-Ford","79","+ 1 Lap","10",""
"8","27","Henri Pescarolo","March-Ford","77","+ 3 Laps","13",""
"9","15","Pedro Rodríguez","BRM","76","+ 4 Laps","5",""
"10","8","Tim Schenken","Brabham-Ford","76","+ 4 Laps","18",""
"Ret","14","Jo Siffert","BRM","58","Oil Pipe","3",""
"Ret","21","Jean-Pierre Beltoise","Matra","47","Differential","7",""
"Ret","20","Chris Amon","Matra","45","Differential","4",""
"Ret","5","Clay Regazzoni","Ferrari","24","Accident","11",""
"Ret","10","Peter Gethin","McLaren-Ford","22","Accident","14",""
"Ret","2","Reine Wisell","Lotus-Ford","21","Wheel bearing","12",""
"Ret","12","François Cevert","Tyrrell-Ford","5","Accident","15",""
"Ret","7","Graham Hill","Brabham-Ford","1","Accident","9",""
"DNQ","16","Howden Ganley","BRM","","","",""
"DNQ","6","Mario Andretti","Ferrari","","","",""
"DNQ","19","Nanni Galli*","March-Alfa-Romeo","","","",""
"DNQ","18","Alex Soler-Roig","March-Ford","","","",""
"DNQ","28","Skip Barber","March-Ford","","","",""
