"#","Directed By","Written By","Original Air Date"
"1","Frank W. Smith","Simon J. Sharkey","September 14, 1997"
"2","Frank W. Smith","Simon J. Sharkey","September 28, 1997"
"3","Gerry Poulson","David Humphries","October 5, 1997"
"4","Gerry Poulson","David Humphries","October 12, 1997"
"5","John Reardon","Neil McKay","October 26, 1997"
"6","John Reardon","Neil McKay","November 2, 1997"
"7","Frank W. Smith","Fran Carroll","November 9, 1997"
"8","Douglas Mackinnon","Neil McKay","November 16, 1997"
"9","Douglas Mackinnon","Neil McKay","November 23, 1997"
"10","John Reardon","Simon J. Sharkey","November 30, 1997"
"11","John Reardon","Simon J. Sharkey","January 4, 1998"
"12","Ken Horn","David Humphries","January 11, 1998"
"13","John Reardon","Simon J. Sharkey","January 18, 1998"
"14","Ken Horn","Neil McKay","January 25, 1998"
"15","Frank W. Smith","Dave Humphries","February 1, 1998"
"16","Douglas MacKinnon","Neil McKay","February 8, 1998"
"17","Graham Moore","Simon J. Sharkey","February 15, 1998"
"18","John Reardon","Simon J. Sharkey","February 22, 1998"
