"Ship Name","Desig","Status","Notes","Links"
"Pennsylvania","BB-38","Damaged","in drydock No. 1, with Cassin and Downes. Three propeller shafts removed.","[1]"
"Arizona","BB-39","Sunk, total loss","Moored Battleship row, berth F-7 forward of Nevada aft of Tennessee","[2]"
"Nevada","BB-36","Seriously damaged, beached at Hospital Point","Moored aft of Arizona at berth F-8","[3]"
"Oklahoma","BB-37","Sunk, total loss","Moored Battleship row, outboard of Maryland at berth F-5, forward of West Virginia","[4]"
"Tennessee","BB-43","Relatively minor damage, repaired by February 1942","Moored starboard side to berth F-6, next to West Virginia and forward of Arizona","[5]"
"California","BB-44","Sunk, floated, rebuilt by January 1944","Moored starboard side to, at berth F-3.","[6]"
"Maryland","BB-46","Damaged, two bomb hits, repaired by February 26, 1942","Moored on Battleship row, inboard of Oklahoma at berth F-5, forward of Tennessee","[7]"
"West Virginia","BB-48","Sunk, floated, rebuilt by July 1944","Moored outboard of Tennessee at berth F-6, forward of Arizona","[8]"
"New Orleans","CA-32","Minor damage","Moored at Berth B-16, Navy Yard Pearl Harbor undergoing engine repairs","[9]"
"San Francisco","CA-38","Undamaged","Under overhaul at the Pearl Harbor Navy Yard berth B-17","[10]"
"Raleigh","CL-7","Damaged by torpedo","Moored at berth F-12, forward of Utah, aft of Detroit","[11]"
"Detroit","CL-8","Undamaged","Moored at berth F-13, aft of Raleigh","[12]"
"Phoenix","CL-46","Undamaged","Berth C-6","[13]"
"Honolulu","CL-48","Minor damage from a bomb near miss","Moored at berth B-21, Navy Yard, with St. Louis outboard","[14]"
"St. Louis","CL-49","Minor bullet hits","Moored outboard of Honolulu at Berth B-21, Navy Yard,","[15]"
"Helena","CL-50","Seriously damaged, repaired by mid-1942","Moored at berth B-2 Naval station with Oglala","[16]"
"Allen","DD-66","Undamaged","Moored to Chew, Solace nearby to port, berth X-5.","[17]"
"Schley","DD-103","Undamaged","Moored in a nest of ships undergoing overhaul in berth B-20, unarmed.","[18]"
"Chew","DD-106","Undamaged","berthed at X-5 to Allen","[19]"
"Ward","DD-139","Undamaged","patrolling channel entrance to Pearl Harbor","[20]"
"Dewey","DD-349","Undamaged","moored berth X-2 with Phelps, MacDonough, Worden, Hull and Dobbin","[21]"
"Farragut","DD-348","Undamaged","starboard to port)","[22]"
"Hull","DD-350","Very minor damage from a bomb near-miss","berth X-2, nested with Dobbins, Dewey, Worden, MacDonough, and Phelps","[23]"
"Macdonough","DD-351","Undamaged","berth X-2, nested with Dobbins, Hull, Dewey, Worden and Phelps","[24]"
"Worden","DD-352","Undamaged","moored Berth X-2, undergoing routine upkeep alongside portside of the Dobbin. Nested to portside were Hull, Phelps, Dewey and MacDonough","[25]"
"Dale","DD-353","Undamaged","starboard to port)","[26]"
"Monaghan","DD-354","Undamaged","starboard to port)","[27]"
"Aylwin","DD-355","Minor damage to propeller","berthed at buoy X-18 with Dale to port, followed by Farragut and Monagaham","[28]"
"Selfridge","DD-357","Undamaged","nested with Conyngham, Tucker, Case and Reid, undergoing repairs alongside Whitney at berth X-8","[29]"
"Phelps","DD-360","Undamaged","berth X-2 undergoing tender overhaul, nested with Hull, Dewey, Worden, MacDonough, and Dobbins","[30]"
"Cummings","DD-365","Minor damage from bomb fragments","nested at berth B-15; order of the ships from the pier outboard – Tracy, Preble, Cummings","[31]"
"Reid","DD-369","Undamaged","nested with Conyngham, Tucker, Case and Selfridge, undergoing repairs alongside Whitney at berth X-8","[32]"
"Case","DD-370","Undamaged","moored starboard side of Whitney at berth X-8. Nested with Conyngham, Reid, Tucker, Case and Selfridge moored alongside to port","[33]"
"Conyngham","DD-371","Undamaged","moored starboard side to Whitney at berth X-8. Reid, Tucker, Case and Selfridge were nested outboard.","[34]"
"Cassin","DD-372","Heavily damaged, considered lost, but rebuilt by February 5, 1944","in drydock next to Downes, forward of Pennsylvania","[35]"
"Shaw","DD-373","Heavily damaged, lost bow, repaired by July 1942.","YFD-2)","[36]"
"Tucker","DD-374","Undamaged","moored with Whitney, Reid, Conyngham, Case and Selfridge at berth X-8.","[37]"
