Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Málaga CF	42	79	22	13	7	72	47	+25
2	Atlético de Madrid B 1	42	74	21	11	10	73	51	+22
3	CD Numancia	42	73	21	10	11	68	40	+28
4	Sevilla FC	42	71	20	11	11	66	50	+16
5	Rayo Vallecano	42	71	19	14	9	64	49	+15
6	UD Las Palmas	42	68	17	17	8	57	38	+19
7	CD Toledo	42	65	18	11	13	54	49	+5
8	SD Compostela	42	61	16	13	13	60	53	+7
9	Sporting de Gijón	42	59	16	11	15	47	47	0
10	CP Mérida	42	59	15	14	13	48	41	+7
11	UE Lleida	42	59	15	14	13	52	50	+2
12	Recreativo de Huelva	42	58	14	16	12	40	35	+5
13	CA Osasuna	42	57	15	12	15	44	51	-7
14	CD Badajoz	42	51	12	15	15	35	39	-4
15	Albacete	42	50	12	14	16	38	43	-5
16	CD Logroñés	42	48	12	12	18	48	57	-9
17	CD Leganés	42	47	10	17	15	36	44	-8
18	SD Eibar	42	47	13	8	21	42	56	-14
19	Mallorca B	42	46	12	10	20	52	64	-12
20	Barcelona B	42	44	13	5	24	51	68	-17
21	Hércules CF	42	40	10	10	22	38	66	-28
22	CD Ourense	42	27	7	6	29	35	82	-47
