Date	Opponent	Score	Top scorer (Total points)	Venue (Location)
February 17 Governor's Cup	Coca Cola	90-82	Askia Jones (29 pts)	Araneta Coliseum
April 21	Sta.Lucia	95-76	Askia Jones (41 pts)	Araneta Coliseum
July 6 Commissioner's Cup	Red Bull	82-81		Araneta Coliseum
July 13	Alaska	78-76	George Banks (27 pts)	Cuneta Astrodome
July 18	RP-Selecta	61-57		Caruncho Gym (Pasig City)
August 1	Brgy.Ginebra	72-71	Johnny Jackson (25 pts)	Philsports Arena
November 6 All-Filipino Cup	Talk 'N Text	67-64	Chris Calaguio (31 pts)	Cuneta Astrodome
November 15	Brgy.Ginebra	71-65		Ynares Center
November 27	FedEx	76-75	Mike Hrabak (24 pts)	Philsports Arena
December 4	Purefoods	77-71	Dale Singson (30 pts)	Philsports Arena
