"Date","Opponent","Score","Result","Location","Attendance"
"December 3, 1948","Butler","67–62","Win","Champaign, IL","-"
"December 8, 1948","Notre Dame","59–58","Win (OT)","Notre Dame, IN","-"
"December 11, 1948","DePaul","50–60","Loss","Chicago, IL","17,189"
"December 13, 1948","Oklahoma","73–68","Win","Champaign, IL","6,902"
"December 18, 1948","Pennsylvania","80–61","Win","Champaign, IL","3,943"
"December 20, 1948","DePaul","89–51","Win","Champaign, IL","6,013"
"December 21, 1948","Cornell","71–47","Win","Champaign, IL","3,042"
"December 29, 1948","Colgate","77–54","Win","Champaign, IL","4,541"
"December 30, 1948","Colgate","85–55","Win","Champaign, IL","3,880"
"January 3, 1949","Wisconsin","62–50","Win","Champaign, IL","-"
"January 8, 1949","Indiana","44–42","Win (2ot)","Bloomington, IN","10,000"
"January 10, 1949","Ohio State","64–63","Win","Columbus, OH","6,958"
"January 15, 1949","Creighton","96–30","Win","Champaign, IL","6,958"
"January 29, 1949","Minnesota (ranked #4)","45–44","Win","Champaign, IL","6,905"
"January 31, 1949","Purdue","53–55","Loss","West Lafayette, IN","10,000"
"February 5, 1949","Wisconsin","61–54","Win","Madison, WI","13,5000"
"February 7, 1949","Northwestern","85–66","Win","Champaign, IL","-"
"February 12, 1949","Ohio State","64–49","Win","Champaign, IL","6,905"
"February 21, 1949","Iowa","80–49","Win","Champaign, IL","-"
"February 26, 1949","Northwestern","81–64","Win","Chicago, IL","17,905"
"February 28, 1949","Indiana","91–28","Win","Champaign, IL","-"
"March 7, 1949","Michigan","53–70","Loss","Ann Arbor, MI","-"
